First Name,Last Name,Face,Name,Truth
Dillon,Brooks,Black,Black,Black
Bruce,Brown,Black,Black,Black
Jaylen,Brown,Black,Black,Black
Kendall,Brown,Other,Black,Black
Moses,Brown,Black,Black,Black
Sterling,Brown,Black,Black,Black
Greg,Brown III,Black,White,Black
Troy,Brown Jr.,Black,Black,Black
Jalen,Brunson,Black,Black,Black
Thomas,Bryant,Black,White,Black
Reggie,Bullock,Black,Black,Black
Alec,Burks,Black,Black,Black
Deonte,Burton,Black,Black,Black
Jared,Butler,Black,White,Black
Jimmy,Butler,Black,Black,Black
John,Butler Jr.,Black,White,Black
Jamal,Cain,Black,White,Black
Kentavious,Caldwell-Pope,Black,Black,Black
Facundo,Campazzo,Other,Other,White
Vlatko,Cancar,White,White,White
Clint,Capela,Black,Black,Black
Vernon,Carey Jr.,Black,Black,Black
Jevon,Carter,Black,Black,Black
Wendell,Carter Jr.,Black,Black,Black
Michael,Carter-Williams,Black,Black,Black
Alex,Caruso,White,Other,White
Julian,Champagnie,Black,Black,Black
Justin,Champagnie,Black,Black,Black
Kennedy,Chandler,Black,Black,Black
Max,Christie,Black,White,Black
Josh,Christopher,Black,White,Black
Brandon,Clarke,Black,Black,Black
Jordan,Clarkson,Black,White,Black
Nic,Claxton,Black,Black,Black
Amir,Coffey,Black,White,Black
John,Collins,Black,White,Black
Zach,Collins,White,White,White
Mike,Conley,Black,Black,Black
Pat,Connaughton,White,White,White
Robert,Covington,Black,Black,Black
Torrey,Craig,Black,Black,Black
Jae,Crowder,Black,Asian,Black
Jarrett,Culver,Black,White,Black
Cade,Cunningham,Black,Black,Black
Seth,Curry,Other,Black,Black
Stephen,Curry,Other,Black,Black
Dyson,Daniels,Black,Black,Black
Anthony,Davis,Black,Black,Black
Johnny,Davis,Other,Black,Black
Terence,Davis,Black,Black,Black
JD,Davison,Black,Black,Black
Darius,Days,Black,Black,Black
DeMar,DeRozan,Black,White,Black
Dewayne,Dedmon,Black,Black,Black
Matthew,Dellavedova,White,White,White
Donte,DiVincenzo,White,White,White
Moussa,Diabate,Black,Black,Black
Mamadi,Diakite,Black,Black,Black
Hamidou,Diallo,Black,Black,Black
Gorgui,Dieng,Black,Black,Black
Ousmane,Dieng,Black,Black,Black
Spencer,Dinwiddie,Black,Black,Black
Luka,Doncic,White,White,White
Tyler,Dorsey,Black,Black,Black
Luguentz,Dort,Black,Black,Black
Ayo,Dosunmu,Black,Black,Black
Devon,Dotson,Black,Black,Black
Jeff,Dowtin Jr.,Black,White,Black
PJ,Dozier,Black,Black,Black
Goran,Dragic,White,White,White
Andre,Drummond,Black,Black,Black
Chris,Duarte,Other,Other,Black
David,Duke Jr.,Black,White,Black
Kris,Dunn,Black,White,Black
Kevin,Durant,Black,Black,Black
Jalen,Duren,Black,White,Black
Tari,Eason,Black,Black,Black
Anthony,Edwards,Black,Black,Black
Kessler,Edwards,Black,Black,Black
Keon,Ellis,Black,Black,Black
Joel,Embiid,Black,Black,Black
Drew,Eubanks,White,White,White
Bruno,Fernando,Black,Other,Black
Dorian,Finney-Smith,Black,Black,Black
Malachi,Flynn,White,Black,White
Simone,Fontecchio,Other,White,White
Bryn,Forbes,Asian,White,Black
Trent,Forrest,Black,Black,Black
Michael,Foster Jr.,Black,White,Black
Evan,Fournier,Other,White,Other
De'Aaron,Fox,Black,Black,Black
Markelle,Fultz,Black,White,Black
Wenyen,Gabriel,Black,Asian,Black
Daniel,Gafford,Black,White,Black
Danilo,Gallinari,White,Asian,White
Darius,Garland,Black,Black,Black
Usman,Garuba,Black,Asian,Black
Luka,Garza,Other,Other,White
Rudy,Gay,Black,Black,Black
Paul,George,Black,White,Black
Taj,Gibson,Black,Black,Black
Josh,Giddey,White,White,White
Shai,Gilgeous-Alexander,Black,White,Black
Anthony,Gill,Other,Black,Black
Collin,Gillespie,White,Black,White
Rudy,Gobert,Other,Black,Other
Jordan,Goodwin,Black,White,Black
Aaron,Gordon,Other,Black,Other
Eric,Gordon,Black,Black,Black
Devonte',Graham,Black,Black,Black
Jerami,Grant,Black,Black,Black
AJ,Green,White,Black,White
Danny,Green,Black,Black,Black
Draymond,Green,Black,Black,Black
JaMychal,Green,Black,Black,Black
Jalen,Green,Black,Black,Black
Javonte,Green,Black,Black,Black
Jeff,Green,Black,Black,Black
Josh,Green,Asian,Black,Black
AJ,Griffin,Black,Black,Black
Blake,Griffin,Other,White,White
Quentin,Grimes,Other,Black,Black
Rui,Hachimura,Black,Asian,Black
Tyrese,Haliburton,Other,Black,Black
Jordan,Hall,Other,White,Black
R.J.,Hampton,Other,Black,Black
Tim,Hardaway Jr.,Black,White,Black
James,Harden,Black,Black,Black
Jaden,Hardy,Black,Black,Black
Ron,Harper Jr.,Black,Black,Black
Montrezl,Harrell,Black,Black,Black
Gary,Harris,Asian,Black,Black
Joe,Harris,White,Black,White
Kevon,Harris,Black,Black,Black
Tobias,Harris,Other,Black,Black
Josh,Hart,Black,White,Black
Isaiah,Hartenstein,White,White,White
Udonis,Haslem,Black,Black,Black
Sam,Hauser,White,White,White
Jaxson,Hayes,Asian,Black,Black
Killian,Hayes,Black,Black,Other
Gordon,Hayward,White,White,White
Juancho,Hernangomez,Other,Other,Other
Willy,Hernangomez,Other,Other,Other
Tyler,Herro,White,White,White
Buddy,Hield,Black,White,Black
Haywood,Highsmith,Black,Black,Black
George,Hill,Black,Black,Black
Malcolm,Hill,Black,Black,Black
Aaron,Holiday,Black,Black,Black
Jrue,Holiday,Black,Black,Black
Justin,Holiday,Black,Black,Black
Richaun,Holmes,Black,Black,Black
Chet,Holmgren,Other,White,White
Al,Horford,Black,Black,Black
Talen,Horton-Tucker,Asian,White,Black
Danuel,House Jr.,Black,Black,Black
Caleb,Houstan,Other,White,Black
Trevor,Hudgins,Black,Black,Black
Kevin,Huerter,White,White,White
Jay,Huff,White,White,White
De'Andre,Hunter,Black,Black,Black
Bones,Hyland,Black,White,Black
Serge,Ibaka,Black,Black,Black
Andre,Iguodala,Black,Black,Black
Joe,Ingles,White,Other,White
Brandon,Ingram,Black,Black,Black
Kyrie,Irving,Black,Black,Black
Jonathan,Isaac,Black,White,Black
Jaden,Ivey,Black,Black,Black
Frank,Jackson,Other,Black,Other
Isaiah,Jackson,Black,Black,Black
Justin,Jackson,Other,Black,Other
Quenton,Jackson,Black,Black,Black
Reggie,Jackson,Black,Black,Black
Jaren,Jackson Jr.,Black,Black,Black
LeBron,James,Black,Black,Black
DaQuan,Jeffries,Black,Black,Black
Ty,Jerome,Other,Black,White
Isaiah,Joe,Black,Black,Black
Alize,Johnson,Black,Black,Black
Cameron,Johnson,Other,Black,Black
Jalen,Johnson,Other,Black,Black
James,Johnson,Black,Black,Black
Keldon,Johnson,Black,Black,Black
Keon,Johnson,Black,Black,Black
Stanley,Johnson,Black,Black,Black
Nikola,Jokic,White,White,White
Carlik,Jones,Black,Black,Black
Damian,Jones,Black,Black,Black
Herbert,Jones,Black,Black,Black
Kai,Jones,Black,Black,Black
Tre,Jones,Black,Black,Black
Tyus,Jones,Black,Black,Black
Derrick,Jones Jr.,Black,Black,Black
DeAndre,Jordan,Black,Black,Black
Cory,Joseph,Other,Black,Black
Nikola,Jovic,White,White,White
Johnny,Juzang,Other,Asian,Asian
Mfiondu,Kabengele,Black,Black,Black
Frank,Kaminsky,White,White,White
Trevor,Keels,Black,Black,Black
Luke,Kennard,White,White,White
Walker,Kessler,White,White,White
Braxton,Key,Black,Black,Black
Louis,King,Black,Black,Black
Corey,Kispert,White,White,White
Maxi,Kleber,Other,White,Black
Nathan,Knight,Black,Black,Black
Kevin,Knox II,Black,White,Black
Christian,Koloko,Black,Black,Black
John,Konchar,White,White,White
Furkan,Korkmaz,Other,White,White
Luke,Kornet,White,White,White
Vit,Krejci,White,White,White
Jonathan,Kuminga,Black,Black,Black
Kyle,Kuzma,Other,White,Other
Jake,LaRavia,White,Other,White
Zach,LaVine,Other,White,Black
Anthony,Lamb,Other,Black,Black
Jock,Landale,White,Black,White
Romeo,Langford,Black,Black,Black
A.J.,Lawson,Black,White,Black
Caris,LeVert,Black,White,Black
Damion,Lee,Black,Black,Black
Saben,Lee,Black,Asian,Black
Alex,Len,Other,Asian,White
Kawhi,Leonard,Black,White,Black
Meyers,Leonard,White,White,White
Justin,Lewis,Black,Black,Black
Kira,Lewis Jr.,Black,Black,Black
E.J.,Liddell,Black,Black,Black
Damian,Lillard,Black,White,Black
Nassir,Little,Black,White,Black
Isaiah,Livers,Asian,Black,Black
Kenneth,Lofton Jr.,Black,Black,Black
Kevon,Looney,Black,Black,Black
Brook,Lopez,White,Other,White
Robin,Lopez,White,Other,White
Kevin,Love,White,Black,White
Kyle,Lowry,Black,White,Black
Trey,Lyles,Asian,Black,Black
Theo,Maledon,Black,Black,Black
Sandro,Mamukelashvili,White,White,White
Terance,Mann,Black,Black,Black
Tre,Mann,Black,Black,Black
Boban,Marjanovic,Other,White,White
Lauri,Markkanen,White,White,White
Naji,Marshall,Black,White,Black
Caleb,Martin,Black,White,Black
Cody,Martin,Asian,White,Black
Tyrese,Martin,Other,Black,Black
Kenyon,Martin Jr.,Black,Black,Black
Garrison,Mathews,White,Black,White
Bennedict,Mathurin,Black,Black,Black
Wesley,Matthews,Black,Black,Black
Tyrese,Maxey,Black,Black,Black
Miles,McBride,Black,Black,Black
Mac,McClung,White,Black,White
CJ,McCollum,Black,Black,Black
T.J.,McConnell,White,Black,White
Jaden,McDaniels,Black,Black,Black
Jalen,McDaniels,Black,Black,Black
Doug,McDermott,White,White,White
JaVale,McGee,Black,Black,Black
Bryce,McGowens,Black,Black,Black
Rodney,McGruder,Black,Black,Black
Jordan,McLaughlin,Black,White,Black
De'Anthony,Melton,Black,Black,Black
Sam,Merrill,White,White,White
Chimezie,Metu,Black,Black,Black
Khris,Middleton,Black,Black,Black
Patty,Mills,Black,Black,Black
Shake,Milton,Black,Black,Black
Josh,Minott,Black,Black,Black
Davion,Mitchell,Black,Black,Black
Donovan,Mitchell,Black,Black,Black
Evan,Mobley,Black,Black,Black
Isaiah,Mobley,Black,Black,Black
Chima,Moneke,Black,Black,Black
Malik,Monk,Black,Black,Black
Moses,Moody,Black,Black,Black
Xavier,Moon,Black,Black,Black
Wendell,Moore Jr.,Black,Black,Black
Ja,Morant,Black,Black,Black
Markieff,Morris,Black,Black,Black
Monte,Morris,Black,Black,Black
Marcus,Morris Sr.,Black,Black,Black
Trey,Murphy III,Black,White,Black
Dejounte,Murray,Black,Black,Black
Jamal,Murray,Asian,Black,Black
Keegan,Murray,Black,Black,Black
Mike,Muscala,White,White,White
Svi,Mykhailiuk,White,White,White
Larry,Nance Jr.,Other,Black,Black
Andrew,Nembhard,Other,Black,Black
Aaron,Nesmith,Black,Black,Black
Raul,Neto,Other,Other,White
Georges,Niang,Other,Black,White
Daishen,Nix,Black,Black,Black
Zeke,Nnaji,Black,Black,Black
Nerlens,Noel,Black,Black,Black
Jaylen,Nowell,Black,Black,Black
Frank,Ntilikina,Black,Black,Black
Kendrick,Nunn,Black,Black,Black
Jusuf,Nurkic,White,White,White
Jordan,Nwora,Black,Black,Black
Royce,O'Neale,Black,Black,Black
Chuma,Okeke,Black,Black,Black
Josh,Okogie,Black,Black,Black
Onyeka,Okongwu,Black,Black,Black
Isaac,Okoro,Black,Black,Black
KZ,Okpala,Black,Black,Black
Victor,Oladipo,Black,Black,Black
Kelly,Olynyk,White,White,White
Eugene,Omoruyi,Black,Black,Black
Cedi,Osman,White,White,White
Kelly,Oubre Jr.,Black,Black,Black
Chris,Paul,Black,Black,Black
Cameron,Payne,Black,Black,Black
Gary,Payton II,Asian,White,Black
Theo,Pinson,Black,Black,Black
Scotty,Pippen Jr.,Black,White,Black
Mason,Plumlee,White,White,White
Jakob,Poeltl,White,White,White
Aleksej,Pokusevski,White,White,White
Jordan,Poole,Black,White,Black
Kevin,Porter Jr.,Black,White,Black
Michael,Porter Jr.,Other,White,Black
Otto,Porter Jr.,Black,White,Black
Bobby,Portis,Black,Black,Black
Kristaps,Porzingis,White,White,White
Micah,Potter,White,White,White
Dwight,Powell,Other,Black,Other
Norman,Powell,Black,Black,Black
Jason,Preston,Black,White,White
Joshua,Primo,Black,Black,Black
Taurean,Prince,Black,Black,Black
Payton,Pritchard,White,White,White
Trevelin,Queen,Other,Black,Other
Neemias,Queta,Black,Other,Black
Immanuel,Quickley,Black,Black,Black
Julius,Randle,Black,Black,Black
Austin,Reaves,White,Black,White
Cam,Reddish,Black,Asian,Black
Davon,Reed,Black,Black,Black
Paul,Reed,Black,White,Black
Naz,Reid,Black,White,Black
Jared,Rhoden,Black,White,Black
Nick,Richards,Black,Black,Black
Josh,Richardson,Black,Black,Black
Austin,Rivers,Other,Black,Black
Duncan,Robinson,White,Black,White
Mitchell,Robinson,Black,Black,Black
Orlando,Robinson,Black,Other,Black
Jeremiah,Robinson-Earl,Black,Black,Black
Isaiah,Roby,Asian,Black,Other
David,Roddy,Other,White,Black
Ryan,Rollins,Other,White,Black
Derrick,Rose,Black,Black,Black
Terrence,Ross,Black,Black,Black
Terry,Rozier,Black,Black,Black
Ricky,Rubio,Other,Other,White
D'Angelo,Russell,Asian,Black,Black
Matt,Ryan,White,White,White
Domantas,Sabonis,White,White,White
Dario,Saric,Other,White,White
Olivier,Sarr,Black,Black,Black
Jordan,Schakel,Other,White,Other
Admiral,Schofield,Black,White,Black
Dennis,Schroder,Black,White,Black
Dereon,Seabron,Black,Black,Black
Alperen,Sengun,Other,Asian,White
Collin,Sexton,Black,White,Black
Landry,Shamet,Other,Black,Other
Day'Ron,Sharpe,Black,Black,Black
Shaedon,Sharpe,Black,Black,Black
Pascal,Siakam,Black,Black,Black
Chris,Silva,Black,Other,Black
Ben,Simmons,Other,Black,Black
Marko,Simonovic,White,White,White
Anfernee,Simons,Black,Black,Black
Jericho,Sims,Black,Black,Black
Marcus,Smart,Black,Black,Black
Dru,Smith,Black,Black,Black
Ish,Smith,Black,Black,Black
Jalen,Smith,Black,Black,Black
Dennis,Smith Jr.,Black,Black,Black
Jabari,Smith Jr.,Black,Black,Black
Jeremy,Sochan,Black,Asian,Black
Jaden,Springer,Black,White,Black
Lamar,Stevens,Black,White,Black
Isaiah,Stewart,Black,Black,Black
Max,Strus,Other,White,White
Jalen,Suggs,Other,Black,Black
Edmond,Sumner,Black,White,Black
Cole,Swider,Other,White,White
Jae'Sean,Tate,Black,Black,Black
Jayson,Tatum,Black,Black,Black
Terry,Taylor,Black,Black,Black
Garrett,Temple,Black,White,Black
Dalen,Terry,Black,Black,Black
Daniel,Theis,White,White,White
Cam,Thomas,Black,Asian,Black
Klay,Thompson,Other,Black,Black
JT,Thor,Black,Asian,Black
Matisse,Thybulle,Other,Black,Black
Xavier,Tillman,Black,Black,Black
Isaiah,Todd,Black,Black,Black
Obi,Toppin,Asian,Black,Black
Juan,Toscano-Anderson,Black,Other,Other
Karl-Anthony,Towns,Black,Black,Black
Gary,Trent Jr.,Black,White,Black
P.J.,Tucker,Black,Black,Black
Myles,Turner,Black,Black,Black
Stanley,Umude,Black,Black,Black
Jonas,Valanciunas,White,White,White
Fred,VanVleet,Other,White,Black
Jarred,Vanderbilt,Black,White,Black
Devin,Vassell,Black,Black,Black
Gabe,Vincent,Asian,Black,Black
Noah,Vonleh,Black,Black,Black
Nikola,Vucevic,White,White,White
Dean,Wade,White,Black,White
Franz,Wagner,White,White,White
Moritz,Wagner,White,White,White
Ish,Wainright,Other,Black,Black
Jabari,Walker,Black,Black,Black
Kemba,Walker,Black,Black,Black
Lonnie,Walker IV,Black,Black,Black
John,Wall,Black,White,Black
T.J.,Warren,Black,Black,Black
P.J.,Washington,Black,Black,Black
Duane,Washington Jr.,Other,Black,Black
TyTy,Washington Jr.,Black,Black,Black
Yuta,Watanabe,Asian,Asian,Asian
Lindy,Waters III,Other,White,Black
Trendon,Watford,Black,Black,Black
Peyton,Watson,Black,Black,Black
Blake,Wesley,Black,Black,Black
Russell,Westbrook,Black,White,Black
Coby,White,Black,Black,Black
Derrick,White,Black,Black,Black
Jack,White,White,Black,White
Joe,Wieskamp,White,White,White
Aaron,Wiggins,Black,Black,Black
Andrew,Wiggins,Black,Black,Black
Lindell,Wigginton,Black,Black,Black
Alondes,Williams,Black,Black,Black
Donovan,Williams,Black,Black,Black
Grant,Williams,Black,Black,Black
Jalen,Williams,Black,Black,Black
Jaylin,Williams,Black,Black,Black
Kenrich,Williams,Black,Black,Black
Mark,Williams,Black,Black,Black
Patrick,Williams,Black,Black,Black
Ziaire,Williams,Black,Black,Black
Robert,Williams III,Black,White,Black
Vince,Williams Jr.,Black,Black,Black
Zion,Williamson,Black,Black,Black
Dylan,Windler,White,White,White
Justise,Winslow,Black,Black,Black
James,Wiseman,Black,White,Black
Christian,Wood,Black,White,Black
Delon,Wright,Black,Black,Black
McKinley,Wright IV,Black,Black,Black
Thaddeus,Young,Black,Black,Black
Trae,Young,Asian,Black,Black
Omer,Yurtseven,Asian,White,Black
Cody,Zeller,White,White,White
Ivica,Zubac,Other,White,White
