First Name,Last Name,Face,Name,Truth
Chris,Pine,White,White,White
Paolina,van Kleef,White,White,White
Michelle,Williams,White,Black,White
Melissa,McCarthy,White,White,White
Abby,Ryder Fortson,White,White,White
Zachary,Levi,White,White,White
Rupert,Grint,White,Black,White
Anna,Kendrick,White,White,White
Zoey,Deutch,Other,White,White
James,Spader,Other,White,White
Joe,Manganiello,Other,Other,White
Wendie,Malick,Other,White,Other
Alden,Ehrenreich,Other,White,White
Gwendoline,Christie,White,Black,White
Storm,Reid,White,Black,Black
Nathalie,Emmanuel,Other,Black,White
Eden,Sher,White,Asian,White
Hope,Davis,White,Black,White
April,Bowlby,White,White,White
Rachel,Weisz,White,White,White
Ben,Aldridge,Other,White,White
Jonathan,Groff,White,White,White
Chris,Hemsworth,White,White,White
Natalie,Dormer,White,White,White
Jennifer,Aniston,Other,White,White
Katee,Sackhoff,Other,White,White
Vanessa,Kirby,White,Black,White
Steve,Howey,Other,White,White
Todd,Field,White,White,White
Pamela,Anderson,Other,Black,White
Daniel,Craig,White,White,White
Ariel,Winter,Other,White,White
Jamie,Lee Curtis,Other,Asian,White
Kaley,Cuoco,White,White,White
Olivia,Colman,White,Black,White
Julia,Roberts,White,White,White
Milly,Alcock,White,White,White
George,Clooney,Other,White,White
Elizabeth,Mitchell,White,Black,White
Dylan,O'Brien,White,White,White
Letitia,Wright,Black,Black,Black
Daisy,Edgar-Jones,White,Other,White
Joanne,Whalley,White,White,White
Devan,Chandler Long,Other,Asian,White
Woody,Harrelson,White,White,White
Martin,McDonagh,White,White,White
Chloe,Sevigny,Other,White,White
Lauren,Cohan,White,White,White
Nicole,Kidman,White,White,White
James,Hong,Asian,Asian,Asian
Rosamund,Pike,White,White,White
Hayley,Atwell,White,White,White
Jack,Lowden,White,White,White
Lea,Thompson,White,Black,White
Charlie,Murphy,White,Black,White
Halle,Bailey,Black,Black,Black
Gary,Oldman,White,White,White
Samantha,Morton,White,Black,White
Denise,Gough,White,Black,White
Josh,Hartnett,Other,White,White
Yvonne,Strahovski,White,White,White
Andrew,Buchan,White,White,White
Meghann,Fahy,White,White,White
Charlie,Hunnam,White,Black,White
Arnold,Schwarzenegger,Other,White,White
Idris,Elba,Black,White,Black
Corey,Stoll,Other,White,White
Hailee,Steinfeld,White,White,White
Amanda,Seyfried,White,White,White
Nicholas,Hoult,White,White,White
Jack,Nicholson,White,White,White
Polly,Draper,White,White,White
Alan,Ritchson,White,White,White
John,Krasinski,White,White,White
Josh,Duhamel,White,White,White
Paul,Dano,White,White,White
Adrien,Brody,Other,White,White
Blake,Lively,White,White,White
Michael,Stuhlbarg,Other,White,White
Jason,Bateman,Other,White,White
Jennifer,Lopez,White,Other,Other
Peter,Stormare,White,White,White
Kristen,Bell,White,White,White
Shantel,VanSanten,White,White,White
Abigail,Breslin,White,White,White
Lamar,Johnson,Black,Black,Black
Sarah,Michelle Gellar,White,White,White
David,Fincher,White,White,White
Carey,Mulligan,White,White,White
Patrick,Stewart,Other,Black,White
Jonah,Hauer-King,Other,White,White
Oscar,Isaac,Other,Other,Other
Amber,Heard,White,Black,White
Helena,Bonham Carter,White,White,White
Alicia,Silverstone,White,White,White
Hero,Fiennes Tiffin,Other,Black,White
Rita,Moreno,Other,Other,Other
Jen,Landon,White,White,White
Caroline,Ford,White,Black,White
Chris,Evans,White,Black,White
Wes,Bentley,White,White,White
Hugh,Jackman,White,White,White
Nick,Nolte,White,White,White
Danai,Gurira,Black,Black,Black
Sally,Field,White,White,White
Gina,Carano,Other,Other,White
Jena,Malone,White,Black,White
Lilli,Kay,White,White,White
