First Name,Last Name,Face,Name,Prediction,Image,School,Source,Actual
David,Patterson,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Wj4ZBFIAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Wj4ZBFIAAAAJ,White
R.,RAMESH,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i95qehIAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=i95qehIAAAAJ,Asian
A,Zettl,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=AV-0h_sAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=AV-0h_sAAAAJ,White
Dennis,BALDOCCHI,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=dJ8MMFoAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=dJ8MMFoAAAAJ,White
Dacher,Keltner,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=oqw_lMkAAAAJ&citpid=6,UC Berkeley,https://scholar.google.com/citations?hl=en&user=oqw_lMkAAAAJ,White
Jillian,BANFIELD,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=xfzvM9wAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=xfzvM9wAAAAJ,White
Carl,SHAPIRO,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=pqN1Fi4AAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=pqN1Fi4AAAAJ,White
chenming,hu,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=AydvDQ0AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=AydvDQ0AAAAJ,Asian
Mark,D'Esposito,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=s7gOlh8AAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=s7gOlh8AAAAJ,White
David,Wagner,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=67kghxAAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=67kghxAAAAAJ,White
William,Evans,White,Black,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Mjtab8oAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=Mjtab8oAAAAJ,White
Matei,Zaharia,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=I1EvjZsAAAAJ&citpid=10,UC Berkeley,https://scholar.google.com/citations?hl=en&user=I1EvjZsAAAAJ,White
Ali,Javey,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1gqyKqcAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=1gqyKqcAAAAJ,Other
Bronwyn,Hall,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=xNiD7IUAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=xNiD7IUAAAAJ,White
Vern,Paxson,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=HvwPRJ0AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=HvwPRJ0AAAAJ,White
Peter,Evans,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=J27wOrMAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=J27wOrMAAAAJ,White
Emmanuel,Saez,Asian,Other,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=qZpr_CQAAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=qZpr_CQAAAAJ,Other
Uros,Seljak,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=kpF5658AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=kpF5658AAAAJ,White
David,Chandler,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XdoMFvwAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=XdoMFvwAAAAJ,White
Hiroyasu,Furukawa,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SXJCtxsAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=SXJCtxsAAAAJ,Asian
Jan,Rabaey,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GP64q_kAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=GP64q_kAAAAJ,White
Benjamin,Recht,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=a_dbdxAAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=a_dbdxAAAAAJ,White
Robert,Cervero,Other,Other,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4Cp_lusAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=4Cp_lusAAAAJ,White
Joseph,Hellerstein,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uFJi3IUAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=uFJi3IUAAAAJ,White
Kurt,Keutzer,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ID9QePIAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=ID9QePIAAAAJ,White
Kenneth,Train,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2bj9dJcAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=2bj9dJcAAAAJ,White
Masayoshi,Tomizuka,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8m8taGEAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=8m8taGEAAAAJ,Asian
Marcia,Linn,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RVbPgUgAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=RVbPgUgAAAAJ,White
Armando,Fox,Asian,Other,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GXJqtYUAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=GXJqtYUAAAAJ,Other
Kannan,Ramchandran,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DcV-5RAAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=DcV-5RAAAAAJ,Asian
Aihwa,Ong,White,Asian,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JdiCwlMAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=JdiCwlMAAAAJ,Asian
Alexander,Pines,White,Other,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cct0cjAAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=cct0cjAAAAAJ,White
David,Zilberman,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DhU5JswAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=DhU5JswAAAAJ,White
Bin,YU,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=xT19Jc0AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=xT19Jc0AAAAJ,Asian
Neil,Fligstein,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=TDFHGecAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=TDFHGecAAAAJ,White
Junqiao,Wu,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=08NbivUAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=08NbivUAAAAJ,Asian
Sophia,Rabe-Hesketh,White,Black,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=qL7K-3EAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=qL7K-3EAAAAJ,White
Farnam,Mohebi,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=R5NxLQwAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=R5NxLQwAAAAJ,Other
Enrico,MORETTI,White,Other,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ERhPn_MAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=ERhPn_MAAAAJ,Other
Kristofer,PISTER,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mnAk4HIAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=mnAk4HIAAAAJ,White
John,Harte,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=fPR9ZeMAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=fPR9ZeMAAAAJ,White
Ken,Goldberg,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8fztli4AAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=8fztli4AAAAJ,White
Kenichi,Soga,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=b1DrYnAAAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=b1DrYnAAAAAJ,Asian
Paul,Kay,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hykbTvUAAAAJ&citpid=1,UC Berkeley,https://scholar.google.com/citations?hl=en&user=hykbTvUAAAAJ,White
Rubinsky,Boris,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5l0ygwEAAAAJ&citpid=6,UC Berkeley,https://scholar.google.com/citations?hl=en&user=5l0ygwEAAAAJ,White
Gibor,BASRI,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1j332TMAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=1j332TMAAAAJ,Black
Liwei,Lin,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=FTe6HDoAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=FTe6HDoAAAAJ,Asian
Shannon,Boettcher,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ctl63ygAAAAJ&citpid=11,UC Berkeley,https://scholar.google.com/citations?hl=en&user=ctl63ygAAAAJ,White
Andy,Konwinski,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0VwIiIsAAAAJ&citpid=3,UC Berkeley,https://scholar.google.com/citations?hl=en&user=0VwIiIsAAAAJ,White
Dmitry,Budker,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=nXMpZ5sAAAAJ&citpid=2,UC Berkeley,https://scholar.google.com/citations?hl=en&user=nXMpZ5sAAAAJ,White
Sheng,LUAN,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NckY6S4AAAAJ&citpid=4,UC Berkeley,https://scholar.google.com/citations?hl=en&user=NckY6S4AAAAJ,Asian
Antoni,Ribas,White,Other,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=I9HWc0sAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=I9HWc0sAAAAJ,White
Paul,Spellman,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=QTAjlj0AAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=QTAjlj0AAAAJ,White
Dan,Geschwind,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0GdjrfYAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=0GdjrfYAAAAJ,White
Judea,Pearl,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=bAipNH8AAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=bAipNH8AAAAJ,White
Wei,Wang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=UedS9LQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=UedS9LQAAAAJ,Asian
Charles,Plager,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1rzs-RAAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=1rzs-RAAAAAJ,White
Steve,Horvath,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mEM8q5cAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=mEM8q5cAAAAJ,White
Tomas,Ganz,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=qpIfQNcAAAAJ&citpid=7,UCLA,https://scholar.google.com/citations?hl=en&user=qpIfQNcAAAAJ,White
Wei,Wang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=08CVzE8AAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=08CVzE8AAAAJ,Asian
Bernard,Weiner,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hbwK99YAAAAJ&citpid=5,UCLA,https://scholar.google.com/citations?hl=en&user=hbwK99YAAAAJ,White
Katsushi,Arisaka,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NWKOsDQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=NWKOsDQAAAAJ,Asian
Richard,Kaner,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=95uwL0cAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=95uwL0cAAAAJ,White
Lieven,Vandenberghe,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WLptLzgAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=WLptLzgAAAAJ,White
Harold,Demsetz,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ZVUFe_UAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ZVUFe_UAAAAJ,White
Yu,Huang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=K4I5SiIAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=K4I5SiIAAAAJ,Asian
Andre,Nel,White,Black,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=975yvVwAAAAJ&citpid=12,UCLA,https://scholar.google.com/citations?hl=en&user=975yvVwAAAAJ,White
John,Heritage,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hjsl6bcAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=hjsl6bcAAAAJ,White
Mani,Srivastava,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=X2Qs7XYAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=X2Qs7XYAAAAJ,Asian
Demetri,Terzopoulos,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=pKuBFaQAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=pKuBFaQAAAAJ,White
Michael,Green,Other,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i7SvOpgAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=i7SvOpgAAAAJ,White
Stephen,Trentalange,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=b6svHsIAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=b6svHsIAAAAJ,White
Tatsuo,Itoh,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ADSxFAQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ADSxFAQAAAAJ,Asian
Keith,Holyoak,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hAg_qXEAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=hAg_qXEAAAAJ,White
Cyriac,Kandoth,Other,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=xirK-toAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=xirK-toAAAAJ,Asian
Sebastian,Edwards,Asian,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ptGn114AAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ptGn114AAAAJ,White
Amit,Sahai,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=gqB23VMAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=gqB23VMAAAAJ,Asian
Leonard,Kleinrock,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=idC8YcsAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=idC8YcsAAAAJ,White
Keith,Nuechterlein,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Y2dTl1oAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=Y2dTl1oAAAAJ,White
MICHAEL,JERRETT,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=kGJfHkUAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=kGJfHkUAAAAJ,White
ivo,welch,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=QYb3tbYAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=QYb3tbYAAAAJ,White
Michael,Fanselow,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=icxDcwkAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=icxDcwkAAAAJ,White
Behzad,Razavi,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=D3k39fMAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=D3k39fMAAAAJ,Other
ROBERT,WAYNE,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uTb0WJkAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=uTb0WJkAAAAJ,White
Matthew,Lieberman,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=BbxU8lwAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=BbxU8lwAAAAJ,White
Eleazar,Eskin,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=VBXG4CwAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=VBXG4CwAAAAJ,White
Vinay,Srinivasan,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SdF8HSoAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=SdF8HSoAAAAJ,Asian
Genhong,Cheng,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=M2De7vMAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=M2De7vMAAAAJ,Asian
Qibing,Pei,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=w7i5aqwAAAAJ&citpid=7,UCLA,https://scholar.google.com/citations?hl=en&user=w7i5aqwAAAAJ,Asian
Bolei,Zhou,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=9D4aG8AAAAAJ&citpid=7,UCLA,https://scholar.google.com/citations?hl=en&user=9D4aG8AAAAAJ,Asian
Avanidhar,Subrahmanyam,Black,Asian,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=bCf2Yk8AAAAJ&citpid=19,UCLA,https://scholar.google.com/citations?hl=en&user=bCf2Yk8AAAAJ,Asian
matteo,pellegrini,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=TT_duF0AAAAJ&citpid=5,UCLA,https://scholar.google.com/citations?hl=en&user=TT_duF0AAAAJ,White
Jason,Ernst,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XoMpU7gAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=XoMpU7gAAAAJ,White
Richard,Thorne,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SBk1vXsAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=SBk1vXsAAAAJ,White
Kenneth,Lange,Black,White,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=AG6N6KMAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=AG6N6KMAAAAJ,White
Elizabeta,Nemeth,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Zir8VcsAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=Zir8VcsAAAAJ,White
Wei,Wang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=UedS9LQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=UedS9LQAAAAJ,Asian
Charles,Plager,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=1rzs-RAAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=1rzs-RAAAAAJ,White
Steve,Horvath,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mEM8q5cAAAAJ&citpid=4,UCLA,https://scholar.google.com/citations?hl=en&user=mEM8q5cAAAAJ,White
Tomas,Ganz,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=qpIfQNcAAAAJ&citpid=7,UCLA,https://scholar.google.com/citations?hl=en&user=qpIfQNcAAAAJ,White
Wei,Wang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=08CVzE8AAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=08CVzE8AAAAJ,Asian
Bernard,Weiner,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hbwK99YAAAAJ&citpid=5,UCLA,https://scholar.google.com/citations?hl=en&user=hbwK99YAAAAJ,White
Katsushi,Arisaka,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=NWKOsDQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=NWKOsDQAAAAJ,Asian
Richard,Kaner,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=95uwL0cAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=95uwL0cAAAAJ,White
Lieven,Vandenberghe,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=WLptLzgAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=WLptLzgAAAAJ,White
Harold,Demsetz,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ZVUFe_UAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ZVUFe_UAAAAJ,White
Yu,Huang,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=K4I5SiIAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=K4I5SiIAAAAJ,Asian
Andre,Nel,White,Black,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=975yvVwAAAAJ&citpid=12,UCLA,https://scholar.google.com/citations?hl=en&user=975yvVwAAAAJ,White
John,Heritage,White,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hjsl6bcAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=hjsl6bcAAAAJ,White
Mani,Srivastava,Other,Asian,Other,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=X2Qs7XYAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=X2Qs7XYAAAAJ,Asian
Demetri,Terzopoulos,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=pKuBFaQAAAAJ&citpid=3,UCLA,https://scholar.google.com/citations?hl=en&user=pKuBFaQAAAAJ,White
Michael,Green,Other,Black,Black,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=i7SvOpgAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=i7SvOpgAAAAJ,White
Stephen,Trentalange,Other,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=b6svHsIAAAAJ&citpid=1,UCLA,https://scholar.google.com/citations?hl=en&user=b6svHsIAAAAJ,White
Tatsuo,Itoh,Asian,Asian,Asian,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ADSxFAQAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=ADSxFAQAAAAJ,Asian
Keith,Holyoak,Asian,White,White,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hAg_qXEAAAAJ&citpid=2,UCLA,https://scholar.google.com/citations?hl=en&user=hAg_qXEAAAAJ,White
