First Name,Last Name,Face,Name,Truth
jakob,ingebrigtsen,White,White,White
enzo,lefort,Black,White,Black
jade,carey,White,Black,White
artur,dalaloyan,White,White,White
christine,sinclair,White,Black,White
faith,chepngetich,Black,Black,Black
sakura,yosozumi,Asian,Asian,Asian
nikola,karabatic,Other,White,White
viktoria,listunova,White,White,White
dani,alves,Black,Other,Other
sue,bird,White,White,White
ahmed,hafnaoui,Other,White,Other
koyo,aoyagi,Asian,Asian,Asian
jerry,tuwai,Black,Black,Black
hideto,asamura,Other,Asian,Asian
momiji,nishiya,Asian,Asian,Asian
kevin,durant,Black,Black,Black
hidilyn,diaz,Asian,Other,Asian
milica,mandic,Other,White,Other
april,ross,White,Black,White
yang,liu,Asian,Asian,Asian
primoz,roglic,White,White,White
miltiadis,tentoglou,Other,White,White
yasuaki,yamasaki,Other,Asian,Asian
florian,wellbrock,White,White,White
hiromi,itoh,Asian,Asian,Asian
hansle,parchment,Black,Black,Black
jolanda,neff,White,White,White
woojin,kim,Asian,Asian,Asian
munetaka,murakami,Asian,Asian,Asian
yuki,yanagita,Asian,Asian,Asian
yuto,horigome,White,Asian,Asian
yoshinobu,yamamoto,Asian,Asian,Asian
lasha,talakhadze,White,White,White
gianmarco,tamberi,White,White,White
ryan,crouser,Asian,White,White
nina,derwael,White,White,White
neeraj,chopra,Other,Asian,Other
hamish,bond,White,Black,White
viktor,axelsen,White,White,White
eliud,kipchoge,Black,Black,Black
damian,warner,Black,White,Black
andrey,rublev,White,White,White
ryosuke,kikuchi,Asian,Asian,Asian
mete,gazoz,White,White,Other
niek,kimmann,White,White,White
takuya,kai,Asian,Asian,Asian
valent,sinkovic,White,White,White
pedro,p.,Black,Other,Black
kensuke,kondoh,Asian,Asian,Asian
steven,gardiner,Black,White,Black
kaima,taira,Asian,Asian,Asian
isaquias,queiroz,Other,Other,Other
yiwen,sun,Asian,Asian,Asian
maksim,khramtcov,White,White,White
artem,dolgopyat,Other,White,White
mutaz,essa,Black,White,Black
karsten,warholm,White,White,White
richarlison,de,Other,Asian,Other
armand,duplantis,White,White,White
abdulrashid,sadulaev,Other,White,Other
naohisa,takato,Asian,Asian,Asian
emma,twigg,White,White,White
panipak,wongpattanakit,Asian,Asian,Asian
xiaojun,lyu,Asian,Asian,Asian
masataka,yoshida,Asian,Asian,Asian
chenchen,guan,Asian,Asian,Asian
yulimar,rojas,Other,Other,Other
alberto,gines,White,Other,Other
jasmine,camacho-quinn,Black,Black,Black
tetsuto,yamada,Asian,Asian,Asian
carissa,moore,Other,Black,Other
jonathan,brownlee,White,Black,White
josua,vakurunabili,Black,White,Black
martin,sinkovic,White,White,White
yukiko,ueno,Asian,Asian,Asian
max,whitlock,White,White,White
filip,filipovic,White,White,White
anita,wlodarczyk,White,White,White
mariya,lasitskene,Other,White,White
ryoya,kurihara,Asian,Asian,Asian
portia,woodman,Asian,Black,White
masato,morishita,Asian,Asian,Asian
martine,grael,White,Black,White
luc,abalo,Black,Black,Black
selemon,barega,Black,Black,Black
alberto,fernandez,Asian,Other,White
dawid,tomala,White,White,White
yudai,ohno,Asian,Asian,Asian
seiya,suzuki,Asian,Asian,Asian
shaunae,miller-uibo,Black,Black,Black
risako,kawai,Asian,Asian,Asian
wojciech,nowicki,White,White,White
keegan,palmer,White,White,White
madeline,musselman,White,White,White
nafissatou,thiam,Other,Black,Black
ashleigh,johnson,Black,Black,Black
flora,duffy,White,White,White
ryoji,kuribayashi,Asian,Asian,Asian
janja,garnbret,White,White,White
massimo,stano,Other,White,Other
musa,evloev,White,White,White
maude,garon,White,Black,White
zach,lavine,Other,White,White
lilly,king,White,Black,White
regan,smith,Other,Black,White
xuechen,huang,Asian,Asian,Asian
elena,osipova,White,White,White
wenyan,sun,Asian,Asian,Asian
ruoteng,xiao,Asian,Asian,Asian
kyle,chalmers,White,White,White
penny,oleksiak,White,White,White
gabrielle,thomas,Black,Black,Black
dimitrij,ovtcharov,White,White,White
abbey,weitzeil,White,White,White
simone,biles,Black,Black,Black
taylor,madison,White,Black,White
kazuma,kaya,Asian,Asian,Asian
kliment,kolesnikov,White,White,White
thomas,ceccon,Other,White,Other
laura,asadauskaite,White,White,Other
anthony,zambrano,Black,Other,Other
lamecha,girma,Black,Black,Black
jennifer,abel,Black,White,Black
long,chen,Asian,Asian,Asian
jack,mcloughlin,White,White,White
ana,maria,White,Other,White
kelvin,hoefler,Other,White,Other
daniel,dhers,White,Black,White
timothy,cheruiyot,Black,Black,Black
idalys,ortiz,Black,Other,Black
xijing,tang,Asian,Asian,Asian
tzu,ying,Asian,Asian,Asian
eivind,henriksen,White,White,White
anastasiia,tatareva,White,White,White
joe,kovacs,White,White,White
shiwen,liu,Asian,Asian,Asian
jakub,vadlejch,White,White,White
mykayla,skinner,White,White,White
ksenia,perova,White,White,White
takeru,kitazono,Asian,Asian,Asian
teresa,portela,White,Other,Other
laura,muir,White,White,White
anastasiia,maksimova,White,White,White
richard,schmidt,White,White,White
ravi,kumar,Other,Asian,Other
daniele,garozzo,Other,White,White
pat,mccormack,White,White,White
luis,javier,Asian,Other,Other
dina,averina,White,White,White
mikkel,hansen,White,White,White
ysaora,thibus,Other,Other,Other
anastasiia,iliankova,Other,White,White
hellen,onsando,Black,Black,Black
chih,kai,Asian,Asian,Asian
gregorio,paltrinieri,White,Other,White
ferguson,cheruiyot,Black,Black,Black
christopher,nilsen,White,White,White
fred,kerley,Black,White,Black
cat,osterman,Other,White,White
kyle,frederick,White,White,White
aisen,chen,Asian,Asian,Asian
jordan,chiles,Asian,Black,Black
monica,abbott,Other,White,White
kanoa,igarashi,Asian,Asian,Asian
kasumi,ishikawa,Asian,Asian,Asian
chanu,saikhom,Asian,Asian,Asian
kenneth,bednarek,Black,White,Black
tin,srbic,White,White,White
nathaniel,coleman,White,Black,White
christine,mboma,Black,Black,Black
saul,craviotto,Other,Other,White
miho,nonaka,Asian,Asian,Asian
marketa,vondrousova,White,White,White
tina,trstenjak,Other,White,White
rudy,gobert,Other,Black,Black
hao,you,Asian,Asian,Asian
kalkidan,gezahegne,Other,Black,Black
simon,pettersson,White,White,White
koki,ikeda,Asian,Asian,Asian
anzhelika,sidorova,White,White,White
dong,dong,Asian,Asian,Asian
lukas,dauser,White,White,White
kokona,hiraki,Asian,Asian,Asian
mohammed,ahmed,Black,Asian,Black
wataru,tanigawa,Asian,Asian,Asian
timo,boll,White,White,White
miu,hirano,Asian,Asian,Asian
jonathan,hilbert,White,White,White
bianca,buitendag,Other,Other,White
grant,holloway,Black,Black,Black
gabriela,bayardo,Other,Other,Other
steve,wijler,Other,White,White
yaming,zhu,Asian,Asian,Asian
juan,miguel,Black,Other,Other
mauro,nespoli,White,White,Other
abdi,nageeye,Black,Black,Black
elena,vesnina,White,White,White
brittney,reese,Black,Black,Black
grace,mccallum,White,Black,White
florent,manaudou,Other,Black,White
rayssa,leal,Black,Other,White
mariana,paj�n,Other,Other,Other
kendra,harrison,Black,Black,Black
adriana,cerezo,Other,Other,Other
kevin,mayer,Other,White,White
kjetil,borch,White,White,White
rayderley,miguel,Black,Other,Other
vanessa,ferrari,White,White,Other
pedro,barros,Other,Other,Other
charlotte,dujardin,White,White,White
emma,jorgensen,White,White,White
takaharu,furukawa,Asian,Asian,Asian
anastasiya,savchuk,White,White,White
marta,fiedina,Black,Other,White
nicolo,martinenghi,Other,White,Other
ferhat,arican,Other,White,Other
lisa,unruh,White,White,White
simone,manuel,Black,Black,Black
toshikazu,yamanishi,Asian,Asian,Asian
florian,wellbrock,White,White,White
luis,alvarez,Other,Other,Other
race,imboden,White,White,White
patty,mills,Black,Black,Black
noah,lyles,Black,Black,Black
mack,horton,White,Black,White
irma,testa,Other,Other,White
daryll,neita,Black,Black,Black
lovlina,borgohain,Other,Asian,Other
ana,peleteiro,Black,Other,Black
ashley,moloney,White,White,White
dylan,schmidt,White,White,White
megan,rapinoe,White,White,White
benjamin,kigen,Black,Black,Black
thiago,braz,White,Other,Other
patryk,dobek,White,White,White
ronald,levy,Black,White,Black
lucilla,boari,White,White,White
pawel,fajdek,White,White,White
maksim,nedasekau,White,White,White
owen,wright,White,Black,White
manpreet,singh,Asian,Asian,Other
artur,davtyan,Other,White,Other
melissa,wu,Other,Asian,Asian
ashleigh,barty,White,White,White
paul,kipkemoi,Black,Black,Black
asha,philip,Black,Asian,Black
helen,louise,White,Black,White
bashir,abdi,Asian,Black,Black
anna,van,White,Asian,White
elijah,winnington,White,Black,White
tomas,walsh,White,White,White
sideris,tasiadis,Other,White,Other
alejandra,valencia,White,Other,Other
tomokazu,harimoto,Asian,Asian,Asian
yeldos,smetov,Asian,White,Asian
valerie,adams,Asian,Black,Other
carli,lloyd,White,Black,White
dina,asher-smith,Black,White,Black
funa,nakayama,Asian,Asian,Asian
tadej,pogacar,White,White,White
alexander,massialas,Asian,Other,White
cory,juneau,White,White,White
josh,kerr,White,White,White
seojeong,yeo,Asian,Asian,Asian
bruno,fratus,Asian,White,Other
pusarla,venkata,Asian,Asian,Other
anthony,sinisuka,Asian,Black,Asian
fabrice,zango,Black,Black,Black
yaroslava,mahuchikh,White,White,White
sebastian,brendel,White,White,White
bryony,page,White,Black,White
rossella,fiamingo,White,Other,Other
evan,dunfee,White,White,White
letesenbet,gidey,Asian,Black,Black
alice,kinsella,White,White,White
jagger,eaton,White,White,White
kirani,james,Black,Black,Black
jacob,kiplimo,Black,Black,Black
sky,brown,Asian,Black,White
jack,laugher,White,White,White
eleftherios,petrounias,White,White,White
bianca,walkden,Other,White,White
lydia,ko,Asian,Asian,Asian
alexandra,patricia,White,Other,White
gregorio,paltrinieri,White,Other,White
chloe,dygert,White,White,White
mai,murakami,Asian,Asian,Asian
maykel,masso,Black,Other,Black
alison,dos,Asian,White,Black
jessica,gadirova,Other,White,White
vitezslav,vesely,White,White,White
du�an,domovic,Other,White,White
megan,tapper,Black,White,Black
lukas,weisshaidinger,White,White,White
damir,martin,White,White,White
pernille,blume,White,White,White
marcos,moneta,White,Other,White
