Name,Website Link,Public or Private
Antioch University - Santa Barbara,https://info.antioch.edu/santa-barbara/?tfa_603=Google%20Ad&trackid=6620CA1A-6B4B-4175-AC0D-0E0027BB4DF4&keyword=antioch%20university%20santa%20barbara&utm_medium=cpc&utm_source=Googlec&utm_campaign=EMS-GGPS-Brand-AUSB&utm_term=antioch%20university%20santa%20barbara&utm_content=Branded%20Generic&gclid=CjwKCAiA2pyuBhBKEiwApLaIO_G1-M2hVKF-w--hzixOR4yabg_rfNt-F1uKgRLT6PDPziETGQTauBoCdBwQAvD_BwE&utm_id=&gad_source=1,Private
Art Center College of Design,https://www.artcenter.edu/,Private
Azusa Pacific University,https://www.apu.edu/,Private
Bethesda University of California,https://www.buc.edu/,Private
Biola University,https://www.biola.edu/,Private
Santa Monica College,https://www.smc.edu/,Private
Bryan University,https://bryanuniversity.edu/,Private
California Baptist University,https://calbaptist.edu/,Private
California Coast University,https://www.calcoast.edu/,Private
California College of the Arts,https://www.cca.edu/,Private
California Intercontinental University,https://caluniversity.edu/,Private
California Institute of the Arts,https://calarts.edu/,Private
California Institute of Integral Studies,https://www.ciis.edu/,Private
California Institute of Technology,https://www.caltech.edu/,Private
California Lutheran University,https://www.callutheran.edu/,Private
California Miramar University,https://www.calmu.edu/,Private
California Northstate University,https://www.cnsu.edu/,Private
Carrington College California,https://carrington.edu/region/california/,Private
Chapman University,https://www.chapman.edu/,Private
Charles R. Drew University of Medicine & Science,https://www.cdrewu.edu/,Private
Church Divinity School of the Pacific,https://cdsp.edu/,Private
Claremont Consortium of Colleges,https://www.claremont.edu/,Private
Claremont Graduate University,https://www.cgu.edu/,Private
Claremont McKenna College,https://www.cmc.edu/,Private
Harvey Mudd College,https://www.hmc.edu/,Private
Keck Graduate Institute of Applied Life Sciences,https://www.kgi.edu/,Private
Pitzer College,https://www.pitzer.edu/,Private
Pomona College,https://www.pomona.edu/,Private
Scripps College,https://www.scrippscollege.edu/,Private
Claremont School of Theology,https://cst.edu/,Private
University of Silicon Valley,https://usv.edu/,Private
Coleman University,https://www.coleman.edu.gl/,Private
Concordia University Irvine,https://www.cui.edu/,Private
DeVry University,https://www.devry.edu/,Private
Dominican School of Philosophy and Theology,https://dspt.edu/,Private
Dominican University of California,https://www.dominican.edu/,Private
Fashion Institute of Design & Merchandising,https://fidm.edu/,Private
Fielding Graduate University,https://www.fielding.edu/,Private
Franciscan School of Theology,https://www.fst.edu/,Private
Fresno Pacific University,https://www.fresno.edu/,Private
Fuller Theological Seminary,https://www.fuller.edu/,Private
Golden Gate University,https://ggu.edu/,Private
Graduate Theological Union,https://www.gtu.edu/,Private
Heald College,http://healdcollege.com/,Private
Hebrew Union College - Jewish Institute of Religion,https://huc.edu/,Private
Henley - Putnam University,https://www.national.edu/schools/henley-putnam/,Private
Holy Names University,https://hnu.edu/,Private
Hope International University,https://www.hiu.edu/,Private
Humphreys College,https://www.humphreys.edu/,Private
City of Hope Irell & Manella Graduate School of Biological Sciences,https://www.cityofhope.org/academics/irell-and-manella-graduate-school-of-biological-sciences,Private
John F. Kennedy University,https://www.nu.edu/college/jfk-school-of-psychology/,Private
La Sierra University,https://lasierra.edu/,Private
Laguna College of Art & Design,https://www.lcad.edu/,Private
Laurus College,https://lauruscollege.edu/,Private
Life Pacific College,https://lifepacific.edu/,Private
Lincoln University,https://www.lincoln.edu/index.html,Private
Loma Linda University,https://llu.edu/,Private
Loyola Marymount University,https://www.lmu.edu/,Private
Marymount California University,https://marymountcalifornia.edu/,Private
The Master's University,https://www.masters.edu/,Private
The Master's Seminary,https://tms.edu/,Private
Menlo College,https://www.menlo.edu/,Private
Mills College,https://mills.northeastern.edu/,Private
Mount Saint Mary’s College,https://www.msmu.edu/,Private
MTI College,https://mticollege.edu/,Private
National Hispanic University,https://www.nhu.edu/,Private
National University,https://www.nu.edu/,Private
NewSchool of Architecture and Design,https://newschoolarch.edu/,Private
Northwestern Polytechnic University,https://www.nwpolytech.ca/,Private
Notre Dame de Namur University,https://www.ndnu.edu/,Private
Occidental College,https://www.oxy.edu/,Private
Olivet University,https://www.olivetuniversity.edu/,Private
Otis College of Art and Design,https://www.otis.edu/,Private
Pacific Oaks College,https://www.pacificoaks.edu/,Private
Pacific School of Religion,https://www.psr.edu/,Private
Pacific Union College,https://www.puc.edu/,Private
Pacifica Graduate Institute,https://www.pacifica.edu/,Private
Palo Alto University,https://www.paloaltou.edu/,Private
Pardee RAND Graduate School,https://www.pardeerand.edu/,Private
Patten University,https://www.patten.edu/,Private
Pepperdine University,https://www.pepperdine.edu/,Private
Phillips Graduate Institute,https://phillips.campbellsville.edu/,Private
Point Loma Nazarene University,https://www.pointloma.edu/,Private
Providence Christian College,https://www.providencecc.edu/,Private
Saint John’s Seminary,https://stjohnsem.edu/,Private
Saint Mary’s College of California,https://www.stmarys-ca.edu/,Private
Saint Patrick’s Seminary & University,https://staging.stpsu.edu/,Private
Samuel Merritt University,https://www.samuelmerritt.edu/,Private
San Diego Christian College,https://sdcc.edu/,Private
San Francisco Conservatory of Music,https://sfcm.edu/,Private
San Francisco Theological Seminary,https://www.gtu.edu/schools/sfts,Private
San Joaquin College of Law,https://www.sjcl.edu/,Private
Santa Clara University,https://www.scu.edu/,Private
Saybrook University,https://www.saybrook.edu/,Private
Scripps Research Institute,https://www.scripps.edu/,Private
Simpson University,https://www.simpsonu.edu/#gsc.tab=0,Private
Sofia University,https://www.sofia.edu/,Private
Soka University of America,https://www.soka.edu/,Private
Southwestern Law School,https://www.swlaw.edu/,Private
Marshall B. Ketchum University,https://www.ketchum.edu/,Private
Southern California Institute of Architecture,https://www.sciarc.edu/,Private
Southern California University of Health Sciences,https://www.scuhs.edu/,Private
Stanford University,https://www.stanford.edu/,Private
Thomas Aquinas College,https://www.thomasaquinas.edu/,Private
Touro College Los Angeles,https://www.touro.edu/,Private
Touro University California,https://tu.edu/,Private
Touro University Worldwide,https://www.tuw.edu/,Private
Trident University International,https://www.trident.edu/,Private
United States University,https://www.usuniversity.edu/,Private
University of La Verne,https://laverne.edu/,Private
University of the Pacific,https://www.pacific.edu/,Private
University of the People,https://www.uopeople.edu/,Private
University of Redlands,https://www.redlands.edu/,Private
University of San Diego,https://www.ucsd.edu/,Private
University of San Francisco,https://www.usfca.edu/,Private
University of Southern California,https://www.usc.edu/,Private
University of the West,https://www.uwest.edu/,Private
Vanguard University of Southern California,https://www.vanguard.edu/,Private
Western State University College of Law,https://www.wsulaw.edu/,Private
Western University of Health Sciences,https://www.westernu.edu/,Private
Westminster Seminary California,https://www.wscal.edu/,Private
Westmont College,https://www.westmont.edu/,Private
Whittier College,https://www.whittier.edu/,Private
William Jessup University,https://jessup.edu/,Private
Woodbury University,https://woodbury.edu/,Private
The Wright Institute,https://www.wi.edu/,Private
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
