first ,last,discipline,Dept. ,title,CSU/UC,campus,#proj
Kerry,Nickols,Ecology,Biology,Assistant Professor,CSU,Northridge,6
Nhut,Ho,Systems and human factors engineering,Mechanical Engineering,Full Professor,CSU,Northridge,17
Kyung,In Huh,Geography,Geography and Anthropology,Assistant Professor,CSU,Pomona,2
Yao,Olive Li,Chemical/Food Engineering,Human Nutrition & Food Science,Assistant Professor,CSU,Pomona,3
Cord,Brundage,"PhD: Integrative Physiology, DVM: Veterinary Medicine",Animal & Veterinary Sciences,Assistant Professor,CSU,Pomona,1
Monica,Palomo,PhD,Civil Engineering,Associate Professor,CSU,Pomona,All my projects are multidisciplinary
Lin,Wu,Geography - climatology,Geography and Anthropology,Full Professor,CSU,Pomona,5
Subodh,Bhandari,Aerospace Engineering,Aerospace Engineering,Full Professor,CSU,Pomona,6
Winny,Dong,Materials Science and Engineering,Office of Undergraduate Research,Full Professor,CSU,Pomona,3
Mahnaz,Moradi Nargesi,Mathematics,,Lecturer,CSU,Pomona,
Jade,Sasser,Environmental Science & Policy Management,Gender & Sexuality Studies,Assistant Professor,UC,Riverside,
Samantha,Ying,Soil Geochemistry,Environmental Sciences,Assistant Professor,UC,Riverside,3
Chen,Li,Materials Science,Materials Science and Engineering/Mechanical Engineering,Assistant Professor,UC,Riverside,3
Holly,Bik,Biological Sciences,Nematology,Assistant Professor,UC,Riverside,2
Sarah,Woodard,Biology,Department of Entomology,Assistant Professor,UC,Riverside,2
Margarita,Curras-Collazo,Physiology,"Cell, Molecular and Systems Biology",Associate Professor,UC,Riverside,2
Melissa,McTernan,Quantitative Psychology,Psychology,Assistant Professor,CSU,Sacramento,4
Joseph,Bahlman,Biology,Biology,Assistant Professor,CSU,Sacramento,5
Milica,Markovic,Electrical Engineering,Electrical and Electronic Engineering,Full Professor,CSU,Sacramento,0
Sara,Callori,Physics,Department of Physics,Assistant Professor,CSU,San Bernardino,10
Brett,Goforth,Earth Sciences,Geography and Environmental Studies,Assistant Professor,CSU,San Bernardino,1
Donna,Garcia,Social Psychology,Psychology,Associate Professor,CSU,San Bernardino,4
Alicia,Kinoshita,Civil Engineering,"Civil, Construction, Environmental Engineering",Assistant Professor,CSU,San Diego,6
Wenwu,Xu,Materials Science and Engineering,Mechanical Engineering,Assistant Professor,CSU,San Diego,5
Xiaofeng,Liu,Aerospace Engineering,Department of Aerospace Engineering,Assistant Professor,CSU,San Diego,4
Sahar,Ghanipoor Machiani,PhD in Civil Engineering,"Civil, Construction, and Environmental Engineering",Assistant Professor,CSU,San Diego,7
Erica,Forsberg,Chemical Biology,Chemistry and Biochemistry,Assistant Professor,CSU,San Diego,4
Jillian,Maloney,Earth Science,Geological Sciences,Assistant Professor,CSU,San Diego,3
Melody K,Schiaffino,Health Services Research,School of Public Health,Assistant Professor,CSU,San Diego,0
Felisha,Herrera Villarreal,STEM Education,Postsecondary Education,Assistant Professor,CSU,San Diego,
Yawen,Li,PhD in social work,School of Social Work,Associate Professor,CSU,San Diego,
Tracy,Finlayson,Public Health,", Division of Health Management and Policy in the School of Public Health",Associate Professor,CSU,San Diego,10
Eyal,Oren,Epidemiology,Graduate School of Public Health,Associate Professor,CSU,San Diego,4
Heather,Corliss,Epidemiology,Graduate School of Public Health,Full Professor,CSU,San Diego,5
Violet,Bumah,Biochemistry,Department of Chemistry and Biochemistry,Full Researcher,CSU,San Diego,3
Shannon Klotsko,Klotsko,Earth Sciences,Geological Sciences,Post-Doctoral Scholar,CSU,San Diego,4
Tse Nga Tina,Ng,Physical Chemistry,Electrical and Computer Engineering,Associate Professor,UC,San Diego,2
Robina,Shaheen,Atmospheric Chemistry,Chemistry and Biochemistry,Associate Researcher,UC,San Diego,
AlisonC,Coil,Astrophysics,Physics,Full Professor,UC,San Diego,5
Ekaterina,Evdokimenko,Materials Science and Engineering,Mechanical and Aerospace Engineering,Post-Doctoral Scholar,UC,San Diego,5
Andrew,Johnson,Marine fisheries ecology,Marine Biology Research Division,Post-Doctoral Scholar,UC,San Diego,3
Somayeh,Sabouri,Immunology,,Post-Doctoral Scholar,UC,San Diego,2
Stephanie,Rogers,"MD, MPH, MS",Medicine,Assistant Professor,UC,San Francisco,3
Stacy,Torres,Sociology,Sociology,Assistant Professor,UC,San Francisco,0
Jae,Sevelius,Clinical Psychology,Medicine,Associate Professor,UC,San Francisco,5
Dorie,Apollonio,Political Science/Health Policy,Clinical Pharmacy,Associate Professor,UC,San Francisco,7
Juleen,Lam,Environmental public health,"Obstetrics, Gynecology and Reproductive Sciences",Associate Researcher,UC,San Francisco,7
James,Buckwalter,Electrical Engineering,Electrical and Computer Engineering,Full Professor,UC,San Francisco,
Odessa,Yabut,Developmental Biology,Neurology,Instructor,UC,San Francisco,2
Sarine,Markossian,Molecular Genetics,Department of Pharmaceutical Chemistry,Other - Full Specialist,UC,San Francisco,2
Timothy,Galan,Orthopaedic Surgery Residendy Program,Orthopaedic Surgery,Other - UCSF Fresno Resident,UC,San Francisco,
Navneet,Matharu,Molecular biology,Bioengineering and therapeutics Sciences,Post-Doctoral Scholar,UC,San Francisco,
Kelly,Bennion,Psychology (concentration in Cognitive Neuroscience),Psychology and Child Development,Assistant Professor,CSU,San Luis Obispo,5
STHANU,MAHADEV,Mechanical Engineering,Mechanical Engineering,Assistant Professor,CSU,San Luis Obispo,2
Jean,Peterson,Viticulture,Wine and Viticulture,Assistant Professor,CSU,San Luis Obispo,4
Ashley,Ringer McDonald,Physical Chemistry,Chemistry and Biochemistry,Assistant Professor,CSU,San Luis Obispo,3
Ike,Kang,,Animal Science,Associate Professor,CSU,San Luis Obispo,0
Lizabeth,Schlemer,Education,Industrial and Manufacurting Engineering,Full Professor,CSU,San Luis Obispo,10
Saeed,Niku,Mechanical Engineering,Mechanical Engineering,Full Professor,CSU,San Luis Obispo,
Elinne,Becket,Molecular Biology,Biological Sciences,Assistant Professor,CSU,San Marcos,12
Robert,Iafe,Organic chemistry,Chemistry & Biochemistry,Assistant Professor,CSU,San Marcos,1
Stephen,Tsui,Condensed Matter Physics,Physics,Associate Professor,CSU,San Marcos,4
Zachary,Eilon,Geophysics (Earth Science),Earth Science,Assistant Professor,UC,Santa Barbara,1
Julia,Lowndes,Biology,NCEAS,Assistant Researcher,UC,Santa Barbara,1
Carrie,Kappel,PhD,NCEAS,Associate Researcher,UC,Santa Barbara,16
Michael,Nava,PhD Statistics,Statistics & Applied Probability,Lecturer,UC,Santa Barbara,1
Jane,Mi,"MFA - Design Media Arts, MSE - Ocean Engineering",Art,Lecturer,UC,Santa Barbara,10
Siddharth,Narayan,Coastal Engineering and Flood Risk Assessments,Institute of Marine Sciences,Post-Doctoral Scholar,UC,Santa Barbara,3
Anna,Kim,Chemistry and Chemical Engineering,Mechanical Engineering,Post-Doctoral Scholar,UC,Santa Barbara,1
Heather,Hodges,Political Science,Bren School of Env. Sci. & Mgmt.,Post-Doctoral Scholar,UC,Santa Barbara,7
Jennifer,Mobberley,Microbiology and Cell Science,Chemistry and Biochemistry,Post-Doctoral Scholar,UC,Santa Barbara,4
Yu,Zhang,Electrical Engineering,Electrical Engineering,Assistant Professor,UC,Santa Cruz,3
Margaret,Zimmer,Hydrology,Earth and Planetary Sciences,Assistant Professor,UC,Santa Cruz,5
Kevin,Jones,Accounting,Economics,Assistant Professor,UC,Santa Cruz,0
Kathleen,Kay,"Ecology, Evolution and Behavior; Plant Biology",Ecology and Evolutionary Biology,Associate Professor,UC,Santa Cruz,0
Ricardo,Sanfelice,Electrical Engineering/Control Systems,Computer Engineering,Associate Professor,UC,Santa Cruz,1
Donald,Wiberg,Engineering,Electrical Engineering,Full Professor,UC,Santa Cruz,100
JJ,Garcia-Luna-Aceves,,Computer Engineering,Full Professor,UC,Santa Cruz,0
Melissa,Viola Eitzel Solera,"Environmental Science, Policy, and Management",Sociology,Post-Doctoral Scholar,UC,Santa Cruz,5
Karin,Jaffe,Anthropology,Anthropology,Full Professor,CSU,Sonoma,10
JOSE,DIAZ-GARAYUA,Ph.D. in Geography,Geography,Assistant Professor,CSU,Stanislaus,0
Wing,To,Physics,Physics and Geology,Assistant Professor,CSU,Stanislaus,2
Alison,McNally,Geography,"Department of Anthropology, Geography, and Ethnic Studies",Assistant Professor,CSU,Stanislaus,2
Iris,Ruiz,Ethnic Studies,Ethnic Studies,Lecturer,CSU,Stanislaus,0
Christian,Kohler,Masters in Building Physics,Building Technologies and Urban Systems,Other - Principal Scientific Engineering Associate,"Lawrence Berkeley National Lab, managed by UC",,3
Haruko,Wainwright,Nuclear Engineering (with minor in Civil and Environmental Engineering),Climate and Ecosystem Sciences Division,Assistant Researcher,Lawrence Berkeley National Laboratory,,5
Daniel,Feldman,Environmental Science and Engineering,Climate Sciences,Associate Researcher,Lawrence Berkeley National Laboratory,,3
Ulas,Karaoz,Bioinformatics and Systems Biology,Ecology Department,Full Researcher,Lawrence Berkeley National Laboratory,,3
Robert,Streubel,Physics,"Materials Sciences Division, Lawrence Berkeley National Laboratory",Post-Doctoral Scholar,Lawrence Berkeley National Laboratory,,10
Neslihan,Tas Baas,Microbial Ecology,Ecology Department,Project Scientist,Lawrence Berkeley National Laboratory,,5
Jenny,Mortimer,Plant Physiology,"Environmental Genomics and Systems Biology, Biosciences",Research Scientist,LBNL,,4
Virginia,Bolshakova,Insect Ecology,UC Cooperative Extension San Mateo &San Francisco Counties,Other - UCANR Advisor/Director,UC Agriculture and Natural Resources,,ALL
