First Name,Last Name,White,Black,East Asian,Southeast Asian,Indian,Middle Eastern,Latino Hispanic,Prediction,Confidence,Ground_Truth
Adrian,Sampson,0.99803108,1.35E-06,6.33E-05,3.34E-05,3.15E-05,0.000688596,0.001150797,White,0.99803108,White
Ã“scar,Mercado,0.001117198,0.077125862,0.000126906,0.003441015,0.82618165,0.001083292,0.09092398,Indian,0.82618165,Latino_Hispanic
AJ,Pollock,0.96432054,1.61E-06,1.25E-05,2.59E-05,5.92E-05,0.030019887,0.005560469,White,0.96432054,White
Akil,Baddoo,2.36E-07,0.999940991,5.82E-07,8.68E-06,3.51E-05,2.13E-06,1.23E-05,Black,0.999940991,Black
Alan,Trejo,0.179171741,0.000580863,0.000673586,0.001345554,0.002584703,0.021867521,0.793775976,Latino_Hispanic,0.793775976,Latino_Hispanic
Albert,Abreu,0.002828883,0.599532723,0.001573077,0.013971748,0.010083412,0.000110043,0.371900111,Black,0.599532723,Latino_Hispanic
Albert,Almora Jr.,0.691472828,2.02E-05,0.001786728,0.001277495,0.001110718,0.058429606,0.245902464,White,0.691472828,Latino_Hispanic
Albert,Pujols,0.003789391,0.205406308,0.022769,0.496682525,0.008711988,0.000508626,0.262132198,Southeast Asian,0.496682525,Latino_Hispanic
Alcides,Escobar,4.92E-06,0.994953096,1.13E-05,0.000250359,0.004479828,1.17E-06,0.000299295,Black,0.994953096,Black
Alec,Bohm,0.97696197,5.37E-06,0.000777717,0.000239112,0.000126176,0.000584925,0.021304833,White,0.97696197,White
Alec,Burleson,0.993789136,1.54E-05,6.25E-06,1.01E-05,2.73E-05,0.001439435,0.004712458,White,0.993789136,White
Alec,Mills,0.64807725,5.50E-06,0.34242782,0.007132056,4.92E-05,0.000285499,0.002022723,White,0.64807725,White
Alejandro,Kirk,0.612311125,6.95E-05,0.184164703,0.062377546,0.001704855,0.004586913,0.134785295,White,0.612311125,White
Alejo,Lopez,0.806953609,1.56E-05,0.000373735,0.000323544,0.002031067,0.006072314,0.184230089,White,0.806953609,White
Alek,Manoah,0.078341179,0.000694172,0.008779891,0.010708084,0.003209647,0.006611066,0.891656041,Latino_Hispanic,0.891656041,Latino_Hispanic
Alek,Thomas,0.06244833,0.000188172,0.00170385,0.002677829,0.003576732,0.000263851,0.929141283,Latino_Hispanic,0.929141283,Latino_Hispanic
Alex,Bregman,0.999350369,2.85E-07,0.000145125,8.56E-06,2.17E-06,0.000134314,0.000359304,White,0.999350369,White
Alex,Call,0.686063826,0.00037636,0.015901214,0.011127215,0.000492691,0.001151835,0.284886867,White,0.686063826,White
Alex,Claudio,0.718147099,0.000501995,0.000252955,0.000206696,0.005791332,0.065635569,0.209464371,White,0.718147099,White
Alex,Cobb,0.99909687,1.53E-06,1.21E-05,1.04E-05,2.01E-05,0.000408804,0.000450273,White,0.99909687,White
Alex,Dickerson,0.93078649,9.04E-06,0.001834631,0.001189207,0.000216629,0.037329264,0.02863469,White,0.93078649,White
Alex,Faedo,0.069385886,0.004153574,0.0008583,0.003125214,0.024115523,0.014540134,0.883821309,Latino_Hispanic,0.883821309,Latino_Hispanic
Alex,Jackson,0.229427665,0.004671825,0.0019015,0.002178492,0.004264094,0.005186797,0.752369583,Latino_Hispanic,0.752369583,White
Alex,Kirilloff,0.407269567,0.000210489,0.000632959,0.000876039,0.001561929,0.033814222,0.555634856,Latino_Hispanic,0.555634856,White
Alex,Lange,0.99968636,4.14E-08,1.07E-06,8.04E-08,1.20E-07,0.000253602,5.88E-05,White,0.99968636,White
Alex,Verdugo,0.939973593,2.71E-05,0.000428519,0.000319097,0.000154846,0.001344712,0.057752009,White,0.939973593,White
Alex,Vesia,0.588489652,1.08E-05,2.32E-05,4.59E-05,0.005065505,0.37965557,0.026709378,White,0.588489652,White
Alex,Wells,0.99890852,1.84E-06,2.83E-05,6.47E-06,1.44E-05,0.000435724,0.000604672,White,0.99890852,White
Alex,Wood,0.997165024,3.90E-07,3.20E-06,6.87E-07,1.33E-06,0.002278943,0.000550374,White,0.997165024,White
Alex,Young,0.998001039,7.55E-07,4.65E-06,2.28E-06,1.92E-06,0.001372862,0.000616658,White,0.998001039,White
Alfonso,Rivas,0.815822005,1.40E-05,0.000138596,9.34E-05,0.000252048,0.007363666,0.176316321,White,0.815822005,White
Amed,Rosario,0.000509024,0.931742191,0.000559685,0.005395542,0.00482286,1.26E-05,0.056958117,Black,0.931742191,Black
Amir,Garrett,0.000475674,0.365945756,0.007876759,0.564334393,0.025659328,3.47E-05,0.035673387,Southeast Asian,0.564334393,Black
Anderson,Espinoza,0.001842166,0.031127652,0.077911101,0.795117557,0.002852925,0.000332062,0.090816639,Southeast Asian,0.795117557,Black
Anderson,Severino,1.50E-05,0.993684232,2.06E-06,1.59E-05,0.005835669,3.74E-05,0.000409818,Black,0.993684232,Black
Andre,Jackson,6.95E-05,0.786687553,0.000124961,0.009633348,0.194484979,3.23E-05,0.00896748,Black,0.786687553,Black
Andre,Pallante,0.999612629,9.19E-08,2.21E-05,3.73E-06,1.49E-06,0.000249135,0.000110792,White,0.999612629,White
Andrelton,Simmons,0.072891876,0.071334004,0.009855076,0.113760725,0.014671144,0.005197962,0.712289274,Latino_Hispanic,0.712289274,White
Andrew,Bellatti,0.995076478,4.87E-06,0.00014277,7.11E-05,4.80E-05,0.000624327,0.004032495,White,0.995076478,White
Andrew,Benintendi,0.987392843,3.51E-06,1.99E-05,8.18E-06,0.000136675,0.009736034,0.002702885,White,0.987392843,White
Andrew,Chafin,0.996273398,3.35E-07,6.46E-06,2.70E-06,4.74E-06,0.003280444,0.000431861,White,0.996273398,White
Andrew,Heaney,0.974005997,7.15E-06,7.87E-06,3.65E-06,2.31E-05,0.024775179,0.001177049,White,0.974005997,White
Andrew,Kittredge,0.994591892,4.00E-07,4.08E-06,3.45E-06,0.000281288,0.001625053,0.003493845,White,0.994591892,White
Andrew,Knapp,0.994677782,1.66E-06,0.001701458,0.000203388,4.84E-05,0.001734712,0.001632611,White,0.994677782,White
Andrew,Knizner,0.999825656,1.32E-07,1.23E-05,3.01E-06,2.15E-06,5.44E-05,0.000102548,White,0.999825656,White
Andrew,McCutchen,6.35E-08,0.999948144,2.49E-07,4.27E-06,4.31E-05,2.46E-08,4.18E-06,Black,0.999948144,Black
Andrew,Nardi,0.135830253,0.000189045,7.41E-05,0.000270387,0.300260454,0.026712187,0.536663592,Latino_Hispanic,0.536663592,White
Andrew,Vasquez,0.416753739,0.000205853,0.000452867,0.002225807,0.013853539,0.001166936,0.565341234,Latino_Hispanic,0.565341234,Latino_Hispanic
Andrew,Vaughn,0.995237589,1.15E-06,0.002207045,0.000128242,1.21E-05,0.001058245,0.001355557,White,0.995237589,White
Andrew,Velazquez,0.833697021,8.99E-06,0.000130476,9.62E-05,0.000647902,0.145281419,0.020137947,White,0.833697021,Latino_Hispanic
Andrew,Wantz,0.991200745,3.11E-05,1.55E-05,1.33E-05,7.58E-05,0.003542308,0.005121227,White,0.991200745,White
Aneurys,Zabala,0.008354831,0.858467937,0.000156326,0.000680822,0.039745569,0.008671703,0.083922751,Black,0.858467937,Black
Angel,De Jesus,7.77E-06,0.999048293,7.85E-06,0.000160012,0.00019295,4.82E-06,0.000578156,Black,0.999048293,Black
Angel,Zerpa,0.001664364,0.007704956,0.047214046,0.869709909,0.002616436,6.61E-05,0.07102406,Southeast Asian,0.869709909,Latino_Hispanic
Anthony,Alford,7.62E-08,0.999959469,7.34E-07,9.46E-06,2.36E-05,3.51E-08,6.65E-06,Black,0.999959469,Black
Anthony,Banda,0.107363649,0.000507094,0.04088271,0.021398131,0.021626437,0.018790195,0.789431691,Latino_Hispanic,0.789431691,Latino_Hispanic
Anthony,Bass,0.934595764,1.29E-05,1.14E-05,1.76E-05,0.000233949,0.058022205,0.007106389,White,0.934595764,White
Anthony,Bemboom,0.98356837,9.25E-06,9.24E-06,9.50E-06,0.000294041,0.001441631,0.014667976,White,0.98356837,White
Anthony,Bender,0.988640785,4.23E-06,2.44E-05,2.49E-05,0.000286531,0.003386366,0.007632872,White,0.988640785,White
Anthony,Castro,3.64E-05,0.974515617,2.33E-05,0.000748836,0.018689172,2.37E-05,0.005962909,Black,0.974515617,Black
Anthony,DeSclafani,0.999902725,2.06E-07,4.31E-06,6.42E-07,5.64E-07,5.47E-05,3.68E-05,White,0.999902725,White
Anthony,Gose,0.023798691,0.119441561,0.002264183,0.011271093,0.039264303,0.002114256,0.801845908,Latino_Hispanic,0.801845908,Latino_Hispanic
Anthony,Kay,0.928307116,1.91E-05,4.52E-05,2.93E-05,0.006435351,0.031077843,0.034086127,White,0.928307116,White
Anthony,Misiewicz,0.997861087,9.30E-07,6.39E-06,5.91E-06,6.81E-06,0.000888342,0.001230578,White,0.997861087,White
Anthony,Rendon,0.367771536,0.000423703,0.000508261,0.00074688,0.016008692,0.422688067,0.191852897,Middle Eastern,0.422688067,Latino_Hispanic
Anthony,Rizzo,0.853733242,8.57E-06,0.082351126,0.010298278,0.000104829,0.001058387,0.052445602,White,0.853733242,White
Anthony,Santander,0.019917935,0.027431758,0.00348131,0.008269495,0.005703141,0.008717526,0.926478803,Latino_Hispanic,0.926478803,Latino_Hispanic
Antonio,Senzatela,0.060145695,0.001499078,8.37E-05,0.000267334,0.030700311,0.011636391,0.895667553,Latino_Hispanic,0.895667553,Latino_Hispanic
Aramis,Garcia,0.781775713,0.000463424,0.000454086,0.000232772,0.001917941,0.033439536,0.181716561,White,0.781775713,Latino_Hispanic
Archie,Bradley,0.997353554,1.16E-06,6.16E-06,1.70E-06,1.69E-06,0.002474332,0.000161444,White,0.997353554,White
Aristides,Aquino,4.61E-07,0.999923348,8.46E-07,1.54E-05,5.14E-05,8.29E-08,8.46E-06,Black,0.999923348,Black
Aroldis,Chapman,1.34E-05,0.996048748,2.73E-05,0.000556077,0.002621597,1.05E-05,0.000722429,Black,0.996048748,Black
Art,Warren,0.125342667,0.0202702,0.00365596,0.018553022,0.015235087,0.043391559,0.773551464,Latino_Hispanic,0.773551464,White
Ashton,Goudeau,0.999371946,1.19E-07,2.93E-06,7.60E-07,3.59E-06,0.000449517,0.000171178,White,0.999371946,White
Austin,Adams,0.840200067,2.05E-05,1.13E-05,1.46E-05,0.000156471,0.142960474,0.016636528,White,0.840200067,White
Austin,Allen,0.994502068,5.69E-06,0.001455817,0.000385475,0.000111118,0.001733598,0.001806264,White,0.994502068,White
Austin,Barnes,0.267115802,0.000239082,0.010816935,0.012233435,0.00526153,0.028292712,0.67604053,Latino_Hispanic,0.67604053,White
Austin,Brice,0.999882817,3.77E-08,4.49E-06,5.62E-07,4.45E-07,4.55E-05,6.62E-05,White,0.999882817,White
Austin,Davis,0.51112932,3.14E-06,6.37E-06,3.38E-05,0.010116967,0.445960134,0.032750316,White,0.51112932,White
Austin,Dean,0.765792251,4.82E-05,7.95E-05,0.000160211,0.003762963,0.191891432,0.038265392,White,0.765792251,White
Austin,Gomber,0.960232675,1.94E-06,4.31E-05,1.80E-05,7.24E-05,0.027475303,0.012156539,White,0.960232675,White
Austin,Hays,0.766339064,5.83E-06,0.001024152,0.000336615,0.00032715,0.00207537,0.229891866,White,0.766339064,White
Austin,Hedges,0.382346809,4.74E-05,3.20E-05,0.000118982,0.168951824,0.016535066,0.431967795,Latino_Hispanic,0.431967795,White
Austin,Meadows,0.998737156,1.43E-07,2.05E-05,6.16E-06,6.46E-06,0.000931334,0.000298258,White,0.998737156,White
Austin,Nola,0.998787105,2.59E-07,3.18E-06,3.08E-06,7.48E-06,0.000987647,0.00021125,White,0.998787105,White
Austin,Pruitt,0.994619608,1.53E-06,1.61E-05,5.44E-06,2.19E-05,0.004874296,0.000461105,White,0.994619608,White
Austin,Riley,0.965723753,1.29E-05,0.000159607,4.99E-05,8.98E-05,0.009795691,0.024168335,White,0.965723753,White
Austin,Romine,0.913072407,9.49E-05,0.002247115,0.003085292,0.000371181,0.017500971,0.063628249,White,0.913072407,White
Austin,Slater,0.989752531,6.49E-07,1.52E-05,6.83E-06,0.000141663,0.008987861,0.001095254,White,0.989752531,White
Austin,Voth,0.99653542,1.64E-07,5.37E-05,1.32E-05,6.82E-06,0.00274911,0.000641625,White,0.99653542,White
Austin,Warren,0.984906137,3.29E-05,0.000273602,6.62E-05,4.51E-05,0.002933686,0.011742358,White,0.984906137,White
Austin,Wynns,0.984171689,4.98E-06,9.90E-06,1.54E-05,6.70E-05,0.011028466,0.004702655,White,0.984171689,White
Bailey,Falter,0.998906136,4.49E-07,0.000139858,1.43E-05,1.15E-05,0.000279765,0.000648102,White,0.998906136,White
Bailey,Ober,0.99485898,1.30E-06,2.75E-05,1.34E-05,9.01E-06,0.00453467,0.000555232,White,0.99485898,White
Beau,Brieske,0.975855589,9.36E-07,3.92E-05,1.06E-05,4.37E-05,0.009157065,0.01489274,White,0.975855589,White
Beau,Sulser,0.930435777,1.51E-05,0.000353254,0.000446136,0.000119125,0.051724926,0.016905634,White,0.930435777,White
Ben,DeLuzio,0.022236215,0.000371213,3.91E-05,0.000165157,0.630957484,0.008512712,0.337718248,Indian,0.630957484,White
Ben,Gamel,0.999831676,2.42E-07,4.19E-06,1.43E-06,5.53E-07,0.000122009,3.99E-05,White,0.999831676,White
Bennett,Sousa,0.037134212,1.92E-06,3.13E-06,3.65E-06,0.000138331,0.961673737,0.001044923,Middle Eastern,0.961673737,White
Billy,Hamilton,0.001704509,0.754854143,0.000111911,0.004322764,0.107137226,0.000978026,0.130891487,Black,0.754854143,Black
Billy,McKinney,0.83671838,4.91E-06,0.099891029,0.010990235,0.000334076,0.002324037,0.049737345,White,0.83671838,White
Blake,Snell,0.733011425,3.68E-05,0.002543088,0.001368724,0.001857298,0.011316912,0.249865741,White,0.733011425,White
Blake,Taylor,0.950572908,5.58E-07,6.24E-06,6.25E-06,0.000205095,0.041292395,0.007916554,White,0.950572908,White
Blake,Treinen,0.997029901,3.41E-07,0.00010363,2.57E-05,9.44E-06,0.001528853,0.001302142,White,0.997029901,White
Bligh,Madris,0.128785789,0.000207069,0.002370459,0.002534734,0.002879963,0.001735713,0.861486256,Latino_Hispanic,0.861486256,Southeast Asian
Bo,Bichette,0.009537245,0.001788374,0.133301303,0.749836683,0.001172654,0.000176097,0.104187638,Southeast Asian,0.749836683,Latino_Hispanic
Bo,Naylor,0.00342143,0.233456701,0.004706039,0.184263334,0.339602649,0.00030791,0.234241992,Indian,0.339602649,White
Bobby,Bradley,7.47E-05,0.966828704,0.000338326,0.01081958,0.015768399,4.45E-05,0.006125849,Black,0.966828704,Black
Bobby,Dalbec,0.315734714,3.67E-05,0.002605335,0.002842884,0.000867416,0.008262131,0.669650793,Latino_Hispanic,0.669650793,White
Bobby,Witt Jr.,0.999597847,3.01E-07,8.10E-05,7.11E-06,3.07E-07,0.000132256,0.000181133,White,0.999597847,White
Bowden,Francis,0.9812029,4.02E-06,0.000104264,5.05E-05,3.78E-05,0.001216245,0.017384276,White,0.9812029,White
Brad,Boxberger,0.999787629,2.49E-07,8.19E-06,1.70E-06,2.62E-06,0.000108545,9.11E-05,White,0.999787629,White
Brad,Hand,0.206152678,0.000664347,0.000538245,0.000559414,0.06551557,0.605504394,0.121065333,Middle Eastern,0.605504394,White
Brad,Keller,0.997013927,8.55E-07,2.86E-05,5.79E-06,4.98E-06,0.000173667,0.002772132,White,0.997013927,White
Brad,Miller,0.991570234,1.15E-06,3.83E-06,1.32E-06,1.61E-05,0.008043669,0.00036362,White,0.991570234,White
Bradley,Zimmer,0.987474322,2.91E-06,5.17E-06,9.16E-06,3.42E-05,0.006083339,0.006390924,White,0.987474322,White
Brady,Singer,0.9965958,1.87E-06,0.001730595,0.000193006,3.16E-06,0.000130695,0.001344908,White,0.9965958,White
Brandon,Belt,0.400708884,0.007195014,0.000123527,0.000572714,0.022601614,0.029061262,0.539736986,Latino_Hispanic,0.539736986,White
Brandon,Bielak,0.991646588,1.56E-06,3.43E-05,1.04E-05,2.43E-05,0.001070004,0.007212951,White,0.991646588,White
Brandon,Crawford,0.870528162,4.76E-05,1.19E-05,4.19E-05,0.000701038,0.060867462,0.06780199,White,0.870528162,White
Brandon,Dixon,0.999674916,1.38E-07,4.18E-05,7.40E-06,2.45E-06,7.37E-05,0.000199683,White,0.999674916,White
Brandon,Drury,0.987866521,1.02E-05,0.000127992,7.34E-05,0.00033514,0.001555958,0.010030557,White,0.987866521,White
Brandon,Hughes,0.999530673,8.54E-07,1.23E-05,5.60E-06,3.82E-06,0.000123836,0.000323044,White,0.999530673,White
Brandon,Lowe,0.993842244,1.34E-05,1.02E-05,4.93E-06,5.53E-05,0.003695335,0.002378407,White,0.993842244,White
Brandon,Marsh,0.993541121,1.77E-05,7.82E-05,0.000136539,3.05E-05,0.001274929,0.004921079,White,0.993541121,White
Brandon,Nimmo,0.977050781,2.53E-05,0.000340177,0.000357217,0.000285287,0.003701811,0.018239502,White,0.977050781,White
Brandon,Woodruff,0.99833554,8.22E-06,0.000253434,0.000304777,3.02E-05,0.00036286,0.000704999,White,0.99833554,White
Braxton,Garrett,0.998968005,2.08E-07,3.43E-05,3.35E-06,1.81E-06,0.00010776,0.000884476,White,0.998968005,White
Brayan,Bello,9.30E-06,0.989848971,8.03E-05,0.005570689,0.001730416,7.19E-06,0.00275304,Black,0.989848971,Black
Brendan,Donovan,0.998533726,4.27E-06,1.84E-06,1.93E-06,2.42E-06,0.000737688,0.0007181,White,0.998533726,White
Brendan,Rodgers,0.729917884,5.83E-06,2.40E-05,2.31E-05,0.000206941,0.249130756,0.020691585,White,0.729917884,White
Brendon,Davis,2.47E-07,0.999883771,5.42E-07,9.24E-06,7.12E-05,2.10E-07,3.48E-05,Black,0.999883771,Black
Brendon,Little,0.155123711,0.001933651,0.002078346,0.005180018,0.001120242,0.000557364,0.834006727,Latino_Hispanic,0.834006727,White
Brennan,Bernardino,0.036389604,0.005381426,0.000177392,0.000865314,0.081367843,0.002778509,0.873039901,Latino_Hispanic,0.873039901,Latino_Hispanic
Brent,Rooker,0.8918643,1.29E-06,2.65E-05,2.08E-05,6.52E-05,0.105505131,0.002516851,White,0.8918643,White
Brent,Suter,0.891859353,1.57E-05,3.75E-05,4.98E-05,0.001501522,0.001302177,0.10523393,White,0.891859353,White
Brett,Baty,0.998890936,9.55E-07,0.000783816,5.19E-05,2.49E-06,6.56E-05,0.000204358,White,0.998890936,White
Brett,Martin,0.212552994,3.23E-05,0.000983671,0.000572731,0.000967768,0.672999084,0.111891456,Middle Eastern,0.672999084,White
Brett,Phillips,0.993387938,1.53E-05,0.000257376,6.86E-05,7.44E-05,0.001363051,0.004833396,White,0.993387938,White
Brewer,Hicklen,0.999909878,9.54E-08,1.49E-06,2.78E-07,4.85E-07,8.45E-06,7.94E-05,White,0.999909878,White
Brian,Anderson,0.940825284,1.03E-06,2.95E-05,1.45E-05,8.70E-05,0.056507364,0.002535223,White,0.940825284,White
Brian,Moran,0.997997344,5.46E-07,0.000182048,3.78E-05,9.30E-06,0.001062574,0.000710446,White,0.997997344,White
Brian,O'Keefe,0.999296069,1.20E-07,2.53E-06,6.50E-07,5.20E-06,0.000446912,0.000248487,White,0.999296069,White
Brian,Serven,0.997087181,6.82E-07,2.38E-05,6.28E-06,2.24E-05,0.001309144,0.001550421,White,0.997087181,White
Brock,Burke,0.845340192,9.73E-06,0.001227879,0.000390902,0.002891712,0.012449839,0.137689784,White,0.845340192,White
Brooks,Raley,0.904091954,9.69E-05,0.000395513,0.000489935,0.002083795,0.007293356,0.085548557,White,0.904091954,White
Bruce,Zimmermann,0.99266547,1.08E-05,2.26E-05,2.19E-05,1.50E-05,0.001068132,0.006196114,White,0.99266547,White
Brusdar,Graterol,0.008955169,0.085290454,0.004882716,0.082097322,0.033997361,7.43E-05,0.784702659,Latino_Hispanic,0.784702659,Latino_Hispanic
Bryan,Abreu,0.008345176,0.058691729,0.016813759,0.162941739,0.052144468,0.003654544,0.697408557,Latino_Hispanic,0.697408557,Latino_Hispanic
Bryan,Baker,0.948048413,1.75E-05,0.000441487,0.000316946,0.000609477,0.033055503,0.017510673,White,0.948048413,White
Bryan,De La Cruz,5.12E-05,0.992412269,0.000282873,0.003797271,0.00040586,9.01E-06,0.003041591,Black,0.992412269,Black
Bryan,Garcia,0.998942673,5.39E-07,2.69E-06,6.12E-07,2.53E-06,0.000719985,0.000330983,White,0.998942673,Latino_Hispanic
Bryan,Hoeing,0.976170421,4.00E-06,2.40E-05,4.17E-05,9.57E-05,0.018449141,0.005215027,White,0.976170421,White
Bryan,Lavastida,0.718542755,0.005147058,0.002407436,0.002561745,0.000887782,0.07525035,0.195202902,White,0.718542755,Latino_Hispanic
Bryan,Reynolds,0.979379773,2.57E-06,0.000223278,9.61E-05,0.000274676,0.002556716,0.017466908,White,0.979379773,White
Bryan,Shaw,0.977250636,6.00E-05,0.005858842,0.001107306,0.000288291,0.004124685,0.011310189,White,0.977250636,White
Bryce,Elder,0.998814583,4.93E-07,2.37E-05,4.87E-06,4.60E-06,0.000176921,0.000974832,White,0.998814583,White
Bryce,Harper,0.998350263,1.85E-06,1.06E-06,1.53E-06,5.52E-06,0.000803423,0.00083645,White,0.998350263,White
Bryce,Johnson,0.999806941,3.21E-07,1.22E-05,3.31E-06,1.22E-06,8.20E-05,9.41E-05,White,0.999806941,White
Bryce,Montes de Oca,0.60422045,0.00023674,0.000309444,0.000233072,0.003734592,0.013160473,0.378105164,White,0.60422045,Latino_Hispanic
Bryse,Wilson,0.99908483,2.90E-07,1.18E-06,8.44E-07,5.02E-06,0.000702189,0.000205556,White,0.99908483,White
Bryson,Stott,0.98833102,1.49E-05,2.49E-05,2.19E-05,4.02E-05,0.00165764,0.009909425,White,0.98833102,White
Bubba,Thompson,0.009574352,0.14436397,0.000715842,0.007410544,0.346581876,0.000656224,0.490697265,Latino_Hispanic,0.490697265,Black
Buck,Farmer,0.921159685,0.000243527,2.07E-05,0.000123729,0.001601171,0.014119747,0.062731467,White,0.921159685,White
Buddy,Kennedy,0.996031106,4.20E-07,1.20E-05,5.80E-06,1.79E-05,0.000778785,0.003153964,White,0.996031106,White
Byron,Buxton,0.000296463,0.931020379,0.000241263,0.00266151,0.000637687,0.000250383,0.064892262,Black,0.931020379,Black
C.J.,Cron,0.967979491,2.17E-05,0.000687253,0.000289035,8.43E-05,0.0114435,0.01949461,White,0.967979491,White
Cade,Cavalli,0.986541271,1.12E-05,4.54E-05,5.53E-05,6.78E-05,0.002834748,0.010444217,White,0.986541271,White
Cal,Mitchell,0.039155018,0.011478133,0.014613704,0.07693556,0.017294824,0.002012159,0.838510573,Latino_Hispanic,0.838510573,Latino_Hispanic
Cal,Quantrill,0.96188426,4.34E-06,2.30E-05,1.55E-05,7.87E-05,0.032234829,0.005759492,White,0.96188426,White
Cal,Raleigh,0.991522312,2.01E-07,0.000139221,2.92E-05,8.26E-06,0.005994715,0.002306061,White,0.991522312,White
Cal,Stevenson,0.598253548,0.000206409,0.000332551,0.000311325,0.029547939,0.01369861,0.357649624,White,0.598253548,White
Caleb,Ferguson,0.917496204,3.66E-05,0.000233103,0.000357297,0.00038538,0.002765953,0.078725494,White,0.917496204,White
Caleb,Hamilton,0.983434975,6.28E-06,0.004588727,0.000322907,1.41E-05,0.001096445,0.010536529,White,0.983434975,White
Caleb,Kilian,0.999735177,1.36E-07,2.50E-05,4.51E-06,2.45E-06,8.62E-05,0.000146587,White,0.999735177,White
Caleb,Smith,0.832917452,5.05E-06,0.00037638,6.58E-05,0.000496325,0.155517325,0.010621677,White,0.832917452,White
