First Name,Last Name,Image,School
Meredith,Lee,https://faculty.uci.edu/get_image?facultyId=2783,UCI
Sohail,Daulatzai,https://faculty.uci.edu/get_image?facultyId=5300,UCI
Frances,Contreras,https://faculty.uci.edu/get_image?facultyId=7160,UCI
Roger,McWilliams,https://faculty.uci.edu/get_image?facultyId=2735,UCI
Dongbao,Chen,https://faculty.uci.edu/get_image?facultyId=5879,UCI
Megan,Peters,https://faculty.uci.edu/get_image?facultyId=6594,UCI
Roozbeh,Houshyar,https://faculty.uci.edu/get_image?facultyId=6559,UCI
Gary,Lynch,https://faculty.uci.edu/get_image?facultyId=2658,UCI
Dawn,Bounds,https://faculty.uci.edu/get_image?facultyId=6813,UCI
Magda,Zarki,https://faculty.uci.edu/get_image?facultyId=4520,UCI
Tibor,Juhasz,https://faculty.uci.edu/get_image?facultyId=7004,UCI
Elana,Craemer,https://faculty.uci.edu/get_image?facultyId=6220,UCI
Grace,Lee,https://faculty.uci.edu/get_image?facultyId=6592,UCI
Michael,Burns,https://faculty.uci.edu/get_image?facultyId=2891,UCI
George,Miller,https://faculty.uci.edu/get_image?facultyId=2037,UCI
Monica,Daley,https://faculty.uci.edu/get_image?facultyId=6595,UCI
Sarah,Campbell,https://faculty.uci.edu/get_image?facultyId=6399,UCI
Robert,Doedens,https://faculty.uci.edu/get_image?facultyId=2030,UCI
Kevork,Abazajian,https://faculty.uci.edu/get_image?facultyId=5856,UCI
Riley,Newman,https://faculty.uci.edu/get_image?facultyId=2045,UCI
Nahum,Chandler,https://faculty.uci.edu/get_image?facultyId=5965,UCI
Margaret,Murata,https://faculty.uci.edu/get_image?facultyId=2659,UCI
Jonathan,Lakey,https://faculty.uci.edu/get_image?facultyId=5626,UCI
Virginia,Kimonis,https://faculty.uci.edu/get_image?facultyId=5799,UCI
Young,Kim,https://faculty.uci.edu/get_image?facultyId=6305,UCI
Lubomir,Bic,https://faculty.uci.edu/get_image?facultyId=2106,UCI
Elizabeth,Chrastil,https://faculty.uci.edu/get_image?facultyId=6620,UCI
Erik,Kongshaug,https://faculty.uci.edu/get_image?facultyId=6648,UCI
Erika,Hayasaki,https://faculty.uci.edu/get_image?facultyId=5640,UCI
Jonathan,Feng,https://faculty.uci.edu/get_image?facultyId=4843,UCI
Tatiana,Kain,https://faculty.uci.edu/get_image?facultyId=5658,UCI
Brandy,Gatlin-Nash,https://faculty.uci.edu/get_image?facultyId=6342,UCI
Vinayak,Chaturvedi,https://faculty.uci.edu/get_image?facultyId=5381,UCI
Young,Kwon,https://faculty.uci.edu/get_image?facultyId=5498,UCI
Philip,Kiser,https://faculty.uci.edu/get_image?facultyId=6487,UCI
John,Fox,https://faculty.uci.edu/get_image?facultyId=5770,UCI
Janice,Plastino,https://faculty.uci.edu/get_image?facultyId=2707,UCI
John,Middlebrooks,https://faculty.uci.edu/get_image?facultyId=5645,UCI
Ross,Conner,https://faculty.uci.edu/get_image?facultyId=2500,UCI
Mei,Kong,https://faculty.uci.edu/get_image?facultyId=6423,UCI
Sara,Goodman,https://faculty.uci.edu/get_image?facultyId=5644,UCI
Sarah,Finkeldei,https://faculty.uci.edu/get_image?facultyId=6600,UCI
Richard,Kelly,https://faculty.uci.edu/get_image?facultyId=6037,UCI
Rudi,Berkelhamer,https://faculty.uci.edu/get_image?facultyId=2681,UCI
Jianming,Bian,https://faculty.uci.edu/get_image?facultyId=6239,UCI
Cornelia,Pechmann,https://faculty.uci.edu/get_image?facultyId=2836,UCI
Pamela,Flodman,https://faculty.uci.edu/get_image?facultyId=4613,UCI
Wei,Li,https://faculty.uci.edu/get_image?facultyId=6687,UCI
Richard,Arum,https://faculty.uci.edu/get_image?facultyId=6235,UCI
Eliezer,Nussbaum,https://faculty.uci.edu/get_image?facultyId=3158,UCI
Yilin,Hu,https://faculty.uci.edu/get_image?facultyId=6020,UCI
Yuqing,Guo,https://faculty.uci.edu/get_image?facultyId=5928,UCI
Herbert,Hamber,https://faculty.uci.edu/get_image?facultyId=2016,UCI
Mary,Corey,https://faculty.uci.edu/get_image?facultyId=2637,UCI
Dan,Hirschberg,https://faculty.uci.edu/get_image?facultyId=2339,UCI
Emily,Brauer,https://faculty.uci.edu/get_image?facultyId=6602,UCI
Kavita,Arora,https://faculty.uci.edu/get_image?facultyId=2684,UCI
Giovanna,Fogli,https://faculty.uci.edu/get_image?facultyId=7214,UCI
Anna,Boncompagni,https://faculty.uci.edu/get_image?facultyId=6596,UCI
Michael,Fried,https://faculty.uci.edu/get_image?facultyId=2019,UCI
Richard,Campbell,https://faculty.uci.edu/get_image?facultyId=2123,UCI
Donald,Forthal,https://faculty.uci.edu/get_image?facultyId=2934,UCI
Daniel,Gross,https://faculty.uci.edu/get_image?facultyId=5468,UCI
Eyal,Amiran,https://faculty.uci.edu/get_image?facultyId=5303,UCI
Jeffrey,Milliken,https://faculty.uci.edu/get_image?facultyId=3328,UCI
Donald,Brown,https://faculty.uci.edu/get_image?facultyId=5663,UCI
Jefferson,Moore,https://faculty.uci.edu/get_image?facultyId=4974,UCI
Carrie,Noland,https://faculty.uci.edu/get_image?facultyId=2770,UCI
Baruch,Kuppermann,https://faculty.uci.edu/get_image?facultyId=2230,UCI
Anand,Ganesan,https://faculty.uci.edu/get_image?facultyId=5705,UCI
Gregory,McClure,https://faculty.uci.edu/get_image?facultyId=6608,UCI
Peter,Li,https://faculty.uci.edu/get_image?facultyId=2058,UCI
Alberto,Manetta,https://faculty.uci.edu/get_image?facultyId=3077,UCI
Hu,Ying,https://faculty.uci.edu/get_image?facultyId=3313,UCI
George,Harvey,https://faculty.uci.edu/get_image?facultyId=4729,UCI
Mehrdad,Jalili,https://faculty.uci.edu/get_image?facultyId=2837,UCI
Herschel,Farbman,https://faculty.uci.edu/get_image?facultyId=5579,UCI
Diane,Campbell,https://faculty.uci.edu/get_image?facultyId=2124,UCI
Zina,Giannopoulou,https://faculty.uci.edu/get_image?facultyId=5262,UCI
Newton,Margulies,https://faculty.uci.edu/get_image?facultyId=5041,UCI
Benjamin,Colby,https://faculty.uci.edu/get_image?facultyId=2607,UCI
Arcelia,Gutierrez,https://faculty.uci.edu/get_image?facultyId=6977,UCI
Fred,Greensite,https://faculty.uci.edu/get_image?facultyId=3037,UCI
Pavan,Kadandale,https://faculty.uci.edu/get_image?facultyId=5925,UCI
Diane,O'Dowd,https://faculty.uci.edu/get_image?facultyId=2702,UCI
Mark,Langdorf,https://faculty.uci.edu/get_image?facultyId=3107,UCI
Andrew,Lankford,https://faculty.uci.edu/get_image?facultyId=2059,UCI
Shirley,Li,https://faculty.uci.edu/get_image?facultyId=7192,UCI
Bryce,Mander,https://faculty.uci.edu/get_image?facultyId=6367,UCI
Carl,Cotman,https://faculty.uci.edu/get_image?facultyId=2273,UCI
Rebeca,Helfer,https://faculty.uci.edu/get_image?facultyId=5133,UCI
Suzanne,Blum,https://faculty.uci.edu/get_image?facultyId=5378,UCI
Stuart,Kleinfelder,https://faculty.uci.edu/get_image?facultyId=4676,UCI
Laura,Mitchell,https://faculty.uci.edu/get_image?facultyId=5035,UCI
Gopi,Meenakshisundaram,https://faculty.uci.edu/get_image?facultyId=4684,UCI
David,Meyer,https://faculty.uci.edu/get_image?facultyId=4654,UCI
