Name,First_name,Last_name,Href,Player_headshot
Aristides Aquino,Aristides,Aquino,/player/aristides-aquino-606157,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/606157/headshot/67/current"
Casey Lawrence,Casey,Lawrence,/player/casey-lawrence-596271,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/596271/headshot/67/current"
David Robertson,David,Robertson,/player/david-robertson-502085,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/502085/headshot/67/current"
Bryan De La Cruz,Bryan,De La Cruz,/player/bryan-de-la-cruz-650559,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/650559/headshot/67/current"
Corey Knebel,Corey,Knebel,/player/corey-knebel-608349,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/608349/headshot/67/current"
Luis Patiño,Luis,Patiño,/player/luis-patino-672715,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/672715/headshot/67/current"
Ronnie Dawson,Ronnie,Dawson,/player/ronnie-dawson-669008,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669008/headshot/67/current"
Andrés Machado,Andrés,Machado,/player/andres-machado-600921,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/600921/headshot/67/current"
Tylor Megill,Tylor,Megill,/player/tylor-megill-656731,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/656731/headshot/67/current"
Tres Barrera,Tres,Barrera,/player/tres-barrera-668663,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/668663/headshot/67/current"
Calvin Faucher,Calvin,Faucher,/player/calvin-faucher-676534,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/676534/headshot/67/current"
Kyle Tucker,Kyle,Tucker,/player/kyle-tucker-663656,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663656/headshot/67/current"
Zack Kelly,Zack,Kelly,/player/zack-kelly-677161,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/677161/headshot/67/current"
Daniel Norris,Daniel,Norris,/player/daniel-norris-596057,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/596057/headshot/67/current"
Luke Williams,Luke,Williams,/player/luke-williams-663897,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/663897/headshot/67/current"
Brent Rooker,Brent,Rooker,/player/brent-rooker-667670,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/667670/headshot/67/current"
Curt Casali,Curt,Casali,/player/curt-casali-592200,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/592200/headshot/67/current"
Corbin Burnes,Corbin,Burnes,/player/corbin-burnes-669203,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_213,q_auto:best/v1/people/669203/headshot/67/current"
