Kate,Winslet,Middle Eastern,White,White
James,Norton,White,White,White
Carrie,Coon,White,White,White
Robert,Downey Jr.,White,White,White
Ryan,Gosling,White,White,White
Mark,Wahlberg,White,White,White
Alison,Pill,White,White,White
Tom,Burke,White,White,White
Katheryn,Winnick,White,White,White
Emma,Thompson,White,Black,White
Steve,Zahn,White,White,White
Johnny,Depp,Middle Eastern,White,White
Justine,Bateman,White,Black,White
Lauren,Ambrose,White,White,White
Guy,Ritchie,White,White,White
Drew,Barrymore,White,White,White
Darren,Aronofsky,White,White,White
Emilia,Clarke,White,Black,White
Amie,Donald,White,Black,White
Ben,Affleck,White,White,White
Jonah,Hill,White,Black,White
Andrea,Riseborough,White,White,White
Adam,Sandler,White,White,White
Val,Kilmer,White,White,White
Bryce,Dallas Howard,White,White,White
Robert,De Niro,White,White,White
Orlando,Bloom,White,Latino_Hispanic,White
Brittany,Snow,White,White,White
Zoe,Saldana,Asian,Latino_Hispanic,White
Tig,Notaro,White,White,White
Salma,Hayek,Middle Eastern,White,Latino_Hispanic
Jessica,Chastain,White,White,White
Channing,Tatum,White,Black,White
Theo,James,Middle Eastern,Black,White
Britt,Robertson,Middle Eastern,White,White
Diane,Morgan,White,Black,White
Keira,Knightley,White,Black,White
Troy,Baker,White,Black,White
Amy,Adams,White,White,White
Julian,Sands,White,Black,White
Gemma,Arterton,White,Black,White
Michelle,Monaghan,White,White,White
Emma,Fuhrmann,White,White,White
Emma,Myers,Asian,Black,White
Will,Smith,Black,Black,Black
Ralph,Fiennes,White,White,White
Erika,Christensen,White,White,White
Orla,Brady,White,White,White
Gates,McFadden,White,Black,White
Olivia,Wilde,White,Black,White
David,Harbour,Middle Eastern,White,White
Travis,Fimmel,White,White,White
Michael,Shannon,White,White,White
Michael,Douglas,White,Black,White
Olivia,Rodrigo,Middle Eastern,Latino_Hispanic,Asian
Russell,Crowe,Middle Eastern,White,White
Ophelia,Lovibond,White,Black,White
Matt,Damon,White,White,White
Elizabeth,Olsen,White,White,White
Glen,Powell,White,Black,White
Monica,Bellucci,White,White,White
Eva,Green,White,Black,White
Marie-Josee,Croze,White,White,White
Natalie,Portman,White,White,White
Monica,Barbaro,Middle Eastern,Latino_Hispanic,White
Bellamy,Young,White,Black,White
Catherine,Zeta-Jones,Middle Eastern,White,White
Sherrie,Rose,Middle Eastern,Black,White
Emma,Stone,White,Black,White
Jake,Gyllenhaal,Middle Eastern,White,White
Bryan,Cranston,White,White,White
Anne,Hathaway,White,White,White
Ginnifer,Goodwin,White,White,White
Angela,Bassett,Middle Eastern,Black,Black
Rose,Williams,White,Black,White
Martin,Scorsese,White,White,White
Jason,Segel,White,White,White
Rachel,McAdams,White,Black,White
Kaitlyn,Dever,Middle Eastern,White,White
Adrianne,Palicki,Middle Eastern,White,White
William,Fichtner,White,White,White
Mila,Kunis,Middle Eastern,White,White
Al,Pacino,Middle Eastern,Latino_Hispanic,White
Charlize,Theron,White,Black,White
Iliza,Shlesinger,White,White,White
Christopher,Nolan,White,White,White
Michael,Rady,White,White,White
Carla,Gugino,White,Latino_Hispanic,White
Alicia,Vikander,White,White,White
Dawn,Olivieri,Middle Eastern,White,White
Kate,Mulvany,White,White,White
Julie,Strain,White,White,White
Brendan,Gleeson,Middle Eastern,White,White
Damien,Chazelle,Middle Eastern,Black,White
Timothy,Olyphant,White,White,White
Annabelle,Wallis,White,White,White
Megan,Fox,White,White,White
Alan,Rickman,White,White,White
Michelle,Randolph,White,Black,White
Anna,Paquin,White,White,White
Olivia,Cooke,White,Black,White
Chris,Pine,White,White,White
Paolina,van Kleef,White,White,White
Michelle,Williams,White,Black,White
Melissa,McCarthy,White,White,White
Abby,Ryder Fortson,White,White,White
Zachary,Levi,White,White,White
Rupert,Grint,White,Black,White
Anna,Kendrick,White,White,White
Zoey,Deutch,Middle Eastern,White,White
James,Spader,Middle Eastern,White,White
Joe,Manganiello,Middle Eastern,Latino_Hispanic,White
Wendie,Malick,Middle Eastern,White,Middle Eastern
Alden,Ehrenreich,Middle Eastern,White,White
Gwendoline,Christie,White,Black,White
Storm,Reid,White,Black,Black
Nathalie,Emmanuel,Latino_Hispanic,Black,White
Eden,Sher,White,Asian,White
Hope,Davis,White,Black,White
April,Bowlby,White,White,White
Rachel,Weisz,White,White,White
Ben,Aldridge,Middle Eastern,White,White
Jonathan,Groff,White,White,White
Chris,Hemsworth,White,White,White
Natalie,Dormer,White,White,White
Jennifer,Aniston,Middle Eastern,White,White
Katee,Sackhoff,Middle Eastern,White,White
Vanessa,Kirby,White,Black,White
Steve,Howey,Middle Eastern,White,White
Todd,Field,White,White,White
Pamela,Anderson,Middle Eastern,Black,White
Daniel,Craig,White,White,White
Ariel,Winter,Middle Eastern,White,White
Jamie,Lee Curtis,Middle Eastern,Asian,White
Kaley,Cuoco,White,White,White
Olivia,Colman,White,Black,White
Julia,Roberts,White,White,White
Milly,Alcock,White,White,White
George,Clooney,Middle Eastern,White,White
Elizabeth,Mitchell,White,Black,White
Dylan,O'Brien,White,White,White
Letitia,Wright,Black,Black,Black
Daisy,Edgar-Jones,White,Latino_Hispanic,White
Joanne,Whalley,White,White,White
Devan,Chandler Long,Middle Eastern,Asian,White
Woody,Harrelson,White,White,White
Martin,McDonagh,White,White,White
Chloe,Sevigny,Middle Eastern,White,White
Lauren,Cohan,White,White,White
Nicole,Kidman,White,White,White
James,Hong,Asian,Asian,Asian
Rosamund,Pike,White,White,White
Hayley,Atwell,White,White,White
Jack,Lowden,White,White,White
Lea,Thompson,White,Black,White
Charlie,Murphy,White,Black,White
Halle,Bailey,Black,Black,Black
Gary,Oldman,White,White,White
Samantha,Morton,White,Black,White
Denise,Gough,White,Black,White
Josh,Hartnett,Middle Eastern,White,White
Yvonne,Strahovski,White,White,White
Andrew,Buchan,White,White,White
Meghann,Fahy,White,White,White
Charlie,Hunnam,White,Black,White
Arnold,Schwarzenegger,Middle Eastern,White,White
Idris,Elba,Black,White,Black
Corey,Stoll,Middle Eastern,White,White
Hailee,Steinfeld,White,White,White
Amanda,Seyfried,White,White,White
Nicholas,Hoult,White,White,White
Jack,Nicholson,White,White,White
Polly,Draper,White,White,White
Alan,Ritchson,White,White,White
John,Krasinski,White,White,White
Josh,Duhamel,White,White,White
Paul,Dano,White,White,White
Adrien,Brody,Middle Eastern,White,White
Blake,Lively,White,White,White
Michael,Stuhlbarg,Middle Eastern,White,White
Jason,Bateman,Middle Eastern,White,White
Jennifer,Lopez,White,Latino_Hispanic,Latino_Hispanic
Peter,Stormare,White,White,White
Kristen,Bell,White,White,White
Shantel,VanSanten,White,White,White
Abigail,Breslin,White,White,White
Lamar,Johnson,Black,Black,Black
Sarah,Michelle Gellar,White,White,White
David,Fincher,White,White,White
Carey,Mulligan,White,White,White
Patrick,Stewart,Middle Eastern,Black,White
Jonah,Hauer-King,Middle Eastern,White,White
Oscar,Isaac,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Amber,Heard,White,Black,White
Helena,Bonham Carter,White,White,White
Alicia,Silverstone,White,White,White
Hero,Fiennes Tiffin,Middle Eastern,Black,White
Rita,Moreno,Middle Eastern,Latino_Hispanic,Latino_Hispanic
Jen,Landon,White,White,White
Caroline,Ford,White,Black,White
Chris,Evans,White,Black,White
Wes,Bentley,White,White,White
Hugh,Jackman,White,White,White
Nick,Nolte,White,White,White
Danai,Gurira,Black,Black,Black
Sally,Field,White,White,White
Gina,Carano,Latino_Hispanic,Latino_Hispanic,White
Jena,Malone,White,Black,White
Lilli,Kay,White,White,White
First Name,Last Name,Face,Name,Truth
A.J.,Alexy,White,White,White
Aaron,Ashby,White,Black,White
Aaron,Brooks,White,Black,White
Aaron,Bummer,White,White,White
Aaron,Civale,White,White,White
Aaron,Fletcher,Asian,Black,Black
Aaron,Hicks,Asian,Black,Black
Aaron,Judge,Other,Black,White
Abraham,Almonte,Black,Hispanic_Latino,Black
Adam,Cimber,White,White,White
Adam,Duvall,White,White,White
Adam,Engel,White,White,White
Adam,Frazier,White,White,White
Adam,Haseley,White,White,White
Adbert,Alzolay,Other,White,Other
Adrian,Houser,White,White,White
Akil,Baddoo,Black,Black,Black
Albert,Abreu,Black,Hispanic_Latino,Other
Alcides,Escobar,Black,Hispanic_Latino,Black
Alec,Bohm,White,White,White
Alec,Burleson,White,White,White
Alex,Bregman,White,White,White
Alex,Call,White,White,White
Alex,Claudio,White,Hispanic_Latino,White
Alex,Cobb,White,Black,White
Alex,Dickerson,White,Black,White
Alex,Faedo,Other,Hispanic_Latino,Other
Alex,Jackson,Other,Black,White
Amir,Garrett,Asian,White,Black
Anderson,Espinoza,Asian,Hispanic_Latino,Black
Andre,Jackson,Black,Black,Black
Andrew,Bellatti,White,White,White
Andrew,Benintendi,White,White,White
Andrew,Chafin,White,White,White
Andrew,Heaney,White,White,White
Anthony,Alford,Black,Black,Black
Anthony,Banda,Other,Hispanic_Latino,Other
Anthony,Bass,White,Black,White
Anthony,Bemboom,White,White,White
Anthony,Bender,White,White,White
Anthony,Castro,Black,Hispanic_Latino,Black
Anthony,DeSclafani,White,Black,White
Anthony,Gose,Other,Black,Other
Anthony,Kay,White,Black,White
Aramis,Garcia,White,Hispanic_Latino,Other
Archie,Bradley,White,Black,White
Aristides,Aquino,Black,Hispanic_Latino,Black
Aroldis,Chapman,Black,White,Black
Ashton,Goudeau,White,Black,White
Austin,Adams,White,Black,White
Austin,Allen,White,White,White
Austin,Barnes,Other,Black,White
Austin,Brice,White,Black,White
Austin,Davis,White,Black,White
Austin,Dean,White,White,White
Austin,Gomber,White,White,White
Austin,Hays,White,White,White
Austin,Hedges,Other,White,White
Bailey,Falter,White,White,White
Beau,Brieske,White,White,White
Ben,DeLuzio,Asian,White,White
Ben,Gamel,White,White,White
Billy,Hamilton,Black,Black,Black
Bo,Bichette,Asian,Asian,Other
Bobby,Bradley,Black,Black,Black
Bobby,Dalbec,Other,White,White
Bowden,Francis,White,Black,White
Brad,Boxberger,White,White,White
Brad,Hand,Other,White,White
Brad,Keller,White,White,White
Brandon,Belt,Other,White,White
Brandon,Bielak,White,White,White
Brandon,Crawford,White,Black,White
Brandon,Dixon,White,Black,White
Brandon,Drury,White,White,White
Brandon,Hughes,White,Black,White
Braxton,Garrett,White,Black,White
Brayan,Bello,Black,Hispanic_Latino,Black
Brendan,Donovan,White,White,White
Brendon,Davis,Black,Black,Black
Brennan,Bernardino,Other,Hispanic_Latino,Other
Brett,Baty,White,White,White
Brewer,Hicklen,White,Black,White
Brian,Anderson,White,White,White
Brock,Burke,White,White,White
Brusdar,Graterol,Other,White,Other
Bryan,Abreu,Other,Hispanic_Latino,Other
Bryan,Baker,White,White,White
Bryan,Garcia,White,Hispanic_Latino,Other
Bryan,Hoeing,White,White,White
Bryce,Elder,White,White,White
Bryce,Harper,White,Black,White
Bryce,Johnson,White,Black,White
Buck,Farmer,White,White,White
Byron,Buxton,Black,Black,Black
C.J.,Cron,White,White,White
Cade,Cavalli,White,White,White
Caleb,Ferguson,White,White,White
Caleb,Hamilton,White,White,White
Calvin,Faucher,White,Black,White
Cam,Alldred,White,Asian,White
Cam,Gallagher,White,Asian,White
Camilo,Doval,Black,Hispanic_Latino,Black
Carlos,Carrasco,Other,Hispanic_Latino,Other
Carlos,Correa,Other,Hispanic_Latino,Other
Carson,Kelly,White,Black,White
Cavan,Biggio,Other,White,White
Chad,Green,White,White,White
Charlie,Blackmon,White,Black,White
Charlie,Culberson,White,Black,White
Chase,Anderson,White,Black,White
Chris,Archer,Other,White,Other
Chris,Bassitt,White,White,White
Chris,Devenski,White,White,White
Chris,Ellis,White,White,White
Chris,Flexen,White,White,White
Christian,Arroyo,White,Hispanic_Latino,White
Christian,Bethancourt,Other,White,Black
CJ,Abrams,Black,Black,Black
Clay,Holmes,White,Black,White
Clint,Frazier,White,Black,White
Cody,Bellinger,White,White,White
Cole,Irvin,White,Black,White
Colin,Holderman,White,White,White
Conner,Capel,White,White,White
Connor,Brogdon,White,White,White
Connor,Joe,Asian,Asian,Asian
Cooper,Criswell,White,White,White
Cooper,Hummel,White,White,White
Corbin,Burnes,White,Black,White
Corbin,Carroll,Other,White,White
Corey,Dickerson,White,Black,White
Cory,Abbott,White,White,White
Cristian,Javier,Black,Hispanic_Latino,Black
Curt,Casali,White,White,White
Dairon,Blanco,Black,Hispanic_Latino,Black
Dakota,Hudson,White,Black,White
Dalton,Guthrie,Other,White,Other
Damon,Jones,White,Black,White
Dane,Dunning,Asian,Black,Asian
Daniel,Bard,White,White,White
Daniel,Castano,White,Hispanic_Latino,White
Daniel,Duarte,Other,Hispanic_Latino,Other
Daniel,Hudson,White,Black,White
Danny,Coulombe,White,Black,White
Danny,Jansen,White,White,White
Darick,Hall,Other,Black,White
Daulton,Jefferies,White,Black,White
David,Bednar,White,White,White
David,Bote,White,White,White
David,Fletcher,White,White,White
David,Hensley,White,White,White
Daz,Cameron,Black,Black,Black
Derek,Hill,Black,Black,Black
Didi,Gregorius,Black,White,Black
Diego,Castillo,Black,Hispanic_Latino,Black
Diego,Castillo,Black,Hispanic_Latino,Black
DL,Hall,White,White,White
Domingo,Acevedo,Black,Hispanic_Latino,Black
Drew,Carlton,White,White,White
Drew,Ellis,White,White,White
Drew,Hutchison,White,White,White
Drew,Jackson,White,Black,White
Drey,Jameson,White,Black,White
Dustin,Garneau,White,White,White
Dylan,Bundy,White,White,White
Dylan,Carlson,Other,White,White
Dylan,Cease,Other,White,White
Dylan,Coleman,White,White,White
Dylan,Floro,White,Hispanic_Latino,White
Eddy,Alvarez,White,Hispanic_Latino,Other
Eduard,Bazardo,Black,Hispanic_Latino,Black
Eduardo,Escobar,Black,Hispanic_Latino,Black
Edward,Cabrera,Black,Hispanic_Latino,Black
Ehire,Adrianza,Other,Black,Other
Elier,Hernandez,Black,Hispanic_Latino,Black
Elvis,Andrus,Black,White,Black
Emmanuel,Clase,Other,Black,Black
Ender,Inciarte,White,Hispanic_Latino,White
Eric,Haase,White,White,White
Eric,Hosmer,Other,White,White
Erick,Fedde,White,White,White
Ernie,Clement,White,Black,White
Estevan,Florial,Black,Hispanic_Latino,Black
Ezequiel,Duran,Black,Hispanic_Latino,Black
Fernando,Cruz,Other,Hispanic_Latino,Other
Foster,Griffin,White,Black,White
Franchy,Cordero,Black,Hispanic_Latino,Black
Franklin,German,Other,White,White
Freddie,Freeman,White,Black,White
Freddy,Fermin,Asian,Hispanic_Latino,White
Gabriel,Arias,Other,Hispanic_Latino,Other
Garrett,Cleavinger,White,White,White
Garrett,Cooper,White,White,White
Garrett,Hampson,White,White,White
Garrett,Hill,White,Black,White
Gavin,Hollowell,White,White,White
Gerrit,Cole,White,White,White
Gilberto,Celestino,Black,Hispanic_Latino,Other
Giovanny,Gallegos,Other,Hispanic_Latino,Other
Gosuke,Katoh,Asian,Asian,Asian
Graham,Ashcraft,White,White,White
Grayson,Greiner,White,White,White
Greg,Allen,Black,White,Black
Greg,Holland,White,White,White
Griffin,Jax,White,White,White
Guillermo,Heredia,Black,Hispanic_Latino,Black
Gunnar,Henderson,White,White,White
Hanser,Alberto,Black,Hispanic_Latino,Black
Harold,Castro,Other,Hispanic_Latino,Other
Harrison,Bader,White,White,White
Heath,Hembree,White,White,White
Huascar,Brazoban,Black,Hispanic_Latino,Black
Humberto,Castellanos,Other,Hispanic_Latino,Other
Hunter,Brown,White,White,White
Hunter,Dozier,White,White,White
Hunter,Gaddis,White,White,White
Hunter,Greene,Black,White,Black
Hunter,Harvey,White,White,White
Ian,Anderson,White,White,White
Ian,Gibaut,White,White,White
Ian,Hamilton,White,White,White
Ian,Happ,White,White,White
J.D.,Davis,White,Black,White
J.P.,Crawford,Other,Black,Black
J.P.,Feyereisen,Other,White,White
Jack,Flaherty,Other,White,White
Jacob,Barnes,Other,White,White
Jacob,deGrom,White,White,White
Jake,Bird,White,White,White
Jake,Brentz,White,White,White
Jake,Burger,White,White,White
Jake,Cave,White,White,White
Jake,Cousins,White,Black,White
Jake,Cronenworth,White,White,White
Jake,Diekman,White,White,White
Jake,Fishman,White,White,White
Jake,Fraley,White,White,White
Jake,Hager,White,White,White
Jakob,Junis,White,White,White
Jalen,Beeks,White,Black,White
James,Kaprielian,White,White,White
James,Karinchak,White,White,White
Jandel,Gustave,Black,Black,Black
Janson,Junk,White,White,White
Jarred,Kelenic,White,White,White
Jarren,Duran,White,Hispanic_Latino,White
Jason,Adam,White,White,White
Jason,Alexander,White,White,White
Jason,Castro,White,Hispanic_Latino,White
Jason,Delay,White,White,White
Jason,Foley,White,White,White
Jason,Heyward,Black,Black,Black
Javier,Assad,Other,Hispanic_Latino,Other
Javy,Guerra,Other,Hispanic_Latino,Other
Jay,Jackson,Black,Black,Black
Jaylin,Davis,Black,Black,Black
Jeff,Brigham,White,White,White
Jeff,Hoffman,White,White,White
Jeimer,Candelario,Other,Hispanic_Latino,Other
Jerad,Eickhoff,White,White,White
Jeremiah,Estrada,Other,Hispanic_Latino,Other
Jeremy,Beasley,White,White,White
Jesse,Chavez,Other,Hispanic_Latino,Other
Jesus,Cruz,Asian,Hispanic_Latino,Other
Jeter,Downs,Black,White,Black
Jeurys,Familia,Black,Hispanic_Latino,Black
Jharel,Cotton,Black,Black,Black
Jhoan,Duran,Other,Hispanic_Latino,Other
Jhonathan,Diaz,White,Hispanic_Latino,White
Jimmy,Herget,White,White,White
JJ,Bleday,White,White,White
Jo,Adell,Black,Black,Black
Joan,Adon,Black,Black,Black
Joe,Barlow,White,Black,White
Joe,Dunand,Asian,Black,White
Joe,Kelly,White,Black,White
Joey,Bart,White,White,White
Joey,Gallo,White,Hispanic_Latino,White
Johan,Camargo,Other,Hispanic_Latino,Other
John,Brebbia,White,White,White
Johnny,Cueto,Black,Hispanic_Latino,Black
Jon,Berti,White,White,White
Jon,Gray,White,White,White
Jonah,Bride,White,Black,White
Jonah,Heim,White,White,White
Jonathan,Aranda,Other,Hispanic_Latino,Other
Jonathan,Davis,Black,Black,Black
Jonathan,Heasley,White,White,White
Jonathan,India,White,Asian,White
Jordan,Diaz,Other,Hispanic_Latino,Other
Jordan,Groshans,White,White,White
Jordan,Hicks,Other,Black,Black
Jordan,Holloway,White,Black,White
Jorge,Alcala,Black,Hispanic_Latino,Black
Jorge,Alfaro,Other,Hispanic_Latino,Other
Jose,Altuve,White,Hispanic_Latino,White
Jose,Alvarez,White,Hispanic_Latino,White
Jose,Barrero,Black,Hispanic_Latino,Black
Jose,Cuas,Black,Hispanic_Latino,Black
Jose,Herrera,Other,Hispanic_Latino,Other
Josh,Bell,Black,Black,Black
Josh,Donaldson,White,White,White
Josh,Fleming,White,Black,White
Josh,Hader,White,White,White
Josh,Harrison,Black,Black,Black
Josh,Jung,White,Asian,White
Josiah,Gray,Black,Black,Black
JT,Brubaker,White,White,White
JT,Chargois,Other,Black,White
Justin,BruiHispanic_Latino,White,White,White
Justin,Dunn,Black,White,Black
Justin,Grimm,White,White,White
Ke'Bryan,Hayes,Black,Black,Black
Keegan,Akin,White,White,White
Ken,Giles,White,Black,White
Kendall,Graveman,Other,White,White
Kenley,Jansen,Black,White,Black
Kerry,Carpenter,White,White,White
Kervin,Castro,Other,Hispanic_Latino,Other
Keston,Hiura,Asian,Asian,Asian
Kevin,Gausman,White,White,White
Kevin,Ginkel,White,White,White
Kevin,Herget,White,White,White
Kody,Clemens,White,White,White
Kohei,Arihara,Asian,Asian,Asian
Kolby,Allard,White,White,White
Kole,Calhoun,White,Black,White
Kris,Bryant,White,Black,White
Kris,Bubic,White,White,White
Kutter,Crawford,White,Black,White
Kyle,Barraclough,White,White,White
Kyle,Bradish,White,White,White
Kyle,Crick,White,White,White
Kyle,Dowdy,White,White,White
Kyle,Farmer,White,White,White
Kyle,Finnegan,White,White,White
Kyle,Freeland,White,White,White
Kyle,Garlick,White,White,White
Kyle,Gibson,White,White,White
Kyle,Hendricks,White,White,White
Kyle,Higashioka,White,Asian,White
Kyle,Isbel,White,White,White
Lewis,Brinson,Black,Black,Black
Liam,Hendriks,White,White,White
Logan,Allen,White,White,White
Logan,Gilbert,White,White,White
Logan,Gillaspie,White,White,White
Lorenzo,Cain,Black,Black,Black
Louis,Head,White,Black,White
Lucas,Gilbreath,White,White,White
Lucas,Giolito,White,Hispanic_Latino,White
Lucius,Fox,Black,White,Black
Luis,Arraez,Other,Hispanic_Latino,Other
Luis,Barrera,Other,Hispanic_Latino,Other
Luis,Campusano,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Castillo,Other,Hispanic_Latino,Other
Luis,Cessa,Other,Hispanic_Latino,Other
Luis,Garcia,Asian,Hispanic_Latino,Other
Luis,Gil,Other,Hispanic_Latino,Other
Luis,Guillorme,Other,Hispanic_Latino,Other
Luke,Bard,White,White,White
Luke,Barker,White,White,White
Luke,Farrell,White,White,White
MacKenzie,Gore,White,Black,White
Madison,Bumgarner,White,White,White
Maikel,Franco,Black,Hispanic_Latino,Black
Maikel,Garcia,Black,Hispanic_Latino,Black
Marco,Gonzales,Other,Hispanic_Latino,Other
Mario,Feliciano,Other,Hispanic_Latino,Other
Mark,Appel,White,White,White
Mark,Canha,White,White,White
Mark,Contreras,Other,Hispanic_Latino,Other
Marwin,Gonzalez,Other,Hispanic_Latino,Other
Matt,Barnes,White,White,White
Matt,Beaty,White,White,White
Matt,Brash,White,White,White
Matt,Bush,Other,White,White
Matt,Carpenter,White,White,White
