First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Ground Truth
Amed Rosario,,6.37E-05,0.971166372,0.025812269,0.002957674,Black,Black
Amir Garrett,,3.06E-05,0.062236659,0.935019246,0.002713505,Asian,Black
Anderson Espinoza,,3.96E-05,0.011768749,0.98555137,0.0026403,Asian,Other
Anderson Severino,,2.24E-05,0.998299301,0.0012398,0.000438556,Black,Black
Andre Jackson,,8.51E-05,0.979583919,0.01746512,0.002865895,Black,Black
Andre Pallante,,0.995946705,1.32E-05,0.001058036,0.002982065,White,White
Andrelton Simmons,,0.020294791,0.085685283,0.660346694,0.233673241,Asian,White
Andres Machado,,0.022546221,0.027483977,0.208066978,0.741902791,Other,Other
Andrew Bellatti,,0.15636085,0.001026825,0.819489899,0.02312236,Asian,White
Andrew Benintendi,,0.313635558,0.011591044,0.05561502,0.619158387,Other,White
Andrew Chafin,,0.326629996,0.033567026,0.413203297,0.226599656,Asian,White
Andrew Heaney,,0.222615942,0.001264368,0.009211977,0.766907722,Other,White
Andrew Kittredge,,0.229023293,0.003021559,0.051958018,0.715997159,Other,White
Andrew Knapp,,0.357691467,0.00105542,0.547609068,0.09364409,Asian,White
Andrew Knizner,,0.992620349,4.40E-05,0.000762516,0.006573158,White,White
Andrew McCutchen,,1.80E-06,0.999471962,0.00046304,6.33E-05,Black,Black
Andrew Nardi,,0.057465114,0.038876884,0.077016878,0.826641127,Other,White
Andrew Vasquez,,0.640851617,0.001492597,0.014614973,0.343040802,White,Other
Andrew Vaughn,,0.175013915,0.001914265,0.802661369,0.020410453,Asian,White
Andrew Velazquez,,0.59293139,0.002398374,0.361658825,0.043011436,White,Other
Andrew Wantz,,0.832842112,0.013271242,0.008985919,0.144900709,White,White
Andrés Giménez,,0.089746937,0.028543865,0.114896246,0.766812945,Other,Other
Andrés Muñoz,,0.026453272,0.022980759,0.470585691,0.479980215,Other,Other
Andy Ibáñez,,5.78E-05,0.976033211,0.015203314,0.008705748,Black,Black
Aneurys Zabala,,0.000344808,0.963954329,0.031101174,0.004599714,Black,Black
Angel De Jesus,,4.23E-06,0.997923374,0.001837688,0.000234729,Black,Black
Angel Rondón,,0.000145672,0.777025998,0.195879804,0.026948541,Black,Black
Angel Zerpa,,2.08E-05,0.002177885,0.997319915,0.000481414,Asian,Other
Anthony Alford,,0.000518543,0.98776859,0.008951411,0.002761497,Black,Black
Anthony Banda,,0.032663859,0.001375151,0.942302711,0.023658297,Asian,Other
Anthony Bass,,0.894792855,0.003349678,0.011730523,0.090126911,White,White
Anthony Bemboom,,0.58942616,0.031590465,0.036321266,0.342662081,White,White
Anthony Bender,,0.637873054,0.000428938,0.029153903,0.332544096,White,White
Anthony Castro,,1.66E-05,0.984610319,0.013651505,0.001721628,Black,Black
Anthony DeSclafani,,0.672820985,0.001729822,0.089128907,0.236320356,White,White
Anthony Gose,,0.003623234,0.911504924,0.013574394,0.071297501,Black,Other
Anthony Kay,,0.329809666,0.00220928,0.011858151,0.656122923,Other,White
Anthony Misiewicz,,0.231197476,0.166778013,0.11895327,0.483071253,Other,White
Anthony Rendon,,0.081655651,0.098479457,0.230815556,0.589049354,Other,White
Anthony Rizzo,,0.004078545,5.61E-05,0.994576569,0.001288675,Asian,White
Anthony Santander,,0.000148513,0.072900139,0.903631529,0.02331981,Asian,Black
Antonio Senzatela,,0.003450289,0.759553671,0.086957739,0.150038287,Black,Other
Aníbal Sánchez,,0.602857649,0.000148726,0.037370234,0.359623447,White,Other
Aramis Garcia,,0.194684654,0.016104594,0.022875342,0.76633543,Other,Other
Archie Bradley,,0.154008389,0.173404202,0.623697042,0.048890377,Asian,White
Aristides Aquino,,2.12E-05,0.997243881,0.00256893,0.000166029,Black,Black
Arodys Vizcaíno,,5.72E-06,0.999647021,0.000235378,0.000111859,Black,Black
Aroldis Chapman,,2.64E-05,0.932379484,0.066173353,0.001420782,Black,Black
Art Warren,,0.003136777,0.091865972,0.897351937,0.007645315,Asian,White
Ashton Goudeau,,0.736389279,0.000495928,0.005191312,0.25792351,White,White
Austin Adams,,0.029721374,0.789438844,0.093618904,0.087220818,Black,White
Austin Allen,,0.94931215,0.000329399,0.01114631,0.039212081,White,White
Austin Barnes,,0.016361058,0.005697667,0.571327606,0.406613691,Asian,White
Austin Brice,,0.760674953,0.000634534,0.201178044,0.037512353,White,White
Austin Davis,,0.125912279,0.194753319,0.037430561,0.641903788,Other,White
Austin Dean,,0.016898191,0.172245905,0.664220903,0.146634936,Asian,White
Austin Gomber,,0.125466406,0.045141499,0.228041537,0.601350561,Other,White
Austin Hays,,0.007594337,2.59E-05,0.99172785,0.000652009,Asian,White
Austin Hedges,,0.100662075,0.017878365,0.077774115,0.803685442,Other,White
Austin Meadows,,0.754522622,0.001505742,0.189001968,0.054969613,White,White
Austin Nola,,0.096550994,0.132974043,0.130006949,0.640468031,Other,White
Austin Pruitt,,0.677460134,0.006331712,0.006354781,0.30985333,White,White
Austin Riley,,0.918869615,7.34E-05,0.004056651,0.077000383,White,White
Austin Romine,,0.185151622,0.11173749,0.348430139,0.354680713,Other,White
Austin Slater,,0.481201231,0.001412207,0.053473426,0.463913135,White,White
Austin Voth,,0.308085293,0.00066434,0.649291878,0.041958479,Asian,White
Austin Warren,,0.392874449,0.004629499,0.409985023,0.192510996,Asian,White
Austin Wynns,,0.558837891,0.030355085,0.006490646,0.404316276,White,White
Avisaíl García,,0.050357848,0.00046352,0.773044935,0.176133686,Asian,Other
Bailey Falter,,0.461890101,0.001490616,0.508017699,0.028601641,Asian,White
Bailey Ober,,0.112061076,0.239425093,0.436113476,0.212400384,Asian,White
Beau Brieske,,0.945365787,2.99E-05,0.001635203,0.052969096,White,White
Beau Sulser,,0.175024956,0.105748668,0.539793417,0.179432966,Asian,White
Ben DeLuzio,,0.001886073,0.902369201,0.070015138,0.025729564,Black,White
Ben Gamel,,0.397688538,0.036710922,0.385995311,0.179605234,White,White
Bennett Sousa,,0.042521495,0.003844325,0.005356467,0.948277637,Other,White
Billy Hamilton,,0.000195149,0.988353431,0.006189246,0.005262241,Black,Black
Billy McKinney,,0.024044331,0.000826401,0.969981332,0.005147957,Asian,White
Blake Snell,,0.121470183,0.001158233,0.100905539,0.776466016,Other,White
Blake Taylor,,0.308423042,0.001582497,0.011637672,0.678356767,Other,White
Blake Treinen,,0.325088054,0.0089487,0.046416833,0.619546399,Other,White
Bligh Madris,,0.084197938,0.001169295,0.749749573,0.164883218,Asian,White
Bo Bichette,,0.001243077,0.00362037,0.982077083,0.013059413,Asian,White
Bo Naylor,,0.006320938,0.386610568,0.435578793,0.171489701,Asian,Black
Bobby Bradley,,0.000661824,0.875332654,0.109980354,0.014025167,Black,Black
Bobby Dalbec,,0.003542327,0.000139783,0.976667339,0.019650586,Asian,White
Bobby Witt Jr.,,0.760022938,0.000174792,0.214139033,0.025663198,White,White
Bowden Francis,,0.641996324,0.000661317,0.316298541,0.041043852,White,White
Brad Boxberger,,0.755612075,0.007956611,0.166963304,0.069467988,White,White
Brad Hand,,0.09907198,0.00397215,0.012972774,0.88398312,Other,White
Brad Keller,,0.786075175,0.000111646,0.204211659,0.009601667,White,White
Brad Miller,,0.625258386,0.00086949,0.241939398,0.131932696,White,White
Bradley Zimmer,,0.858055592,0.003100185,0.001811345,0.13703287,White,White
Brady Singer,,0.128189906,0.054141399,0.776569383,0.041099266,Asian,White
Brandon Belt,,0.008713292,0.681869209,0.255419798,0.053997712,Black,White
Brandon Bielak,,0.835536778,6.76E-05,0.014782399,0.149613246,White,White
Brandon Crawford,,0.045718808,0.291520387,0.019116898,0.643643916,Other,White
Brandon Dixon,,0.861074567,0.000150524,0.077108511,0.061666431,White,White
Brandon Drury,,0.640041471,0.001476356,0.00774595,0.350736253,White,White
Brandon Hughes,,0.667423069,0.043110557,0.036519718,0.252946548,White,White
Brandon Lowe,,0.28018558,0.193539307,0.145631601,0.380643498,Other,White
Brandon Marsh,,0.098754555,0.384237587,0.289456705,0.227551168,Black,White
Brandon Nimmo,,0.111689478,0.009204394,0.851776697,0.02732942,Asian,White
Brandon Woodruff,,0.103777133,0.265494794,0.552250703,0.078477424,Asian,White
Braxton Garrett,,0.983710289,7.93E-05,0.002055868,0.014154664,White,White
Brayan Bello,,2.68E-05,0.571296573,0.426814692,0.001861911,Black,Black
Brendan Donovan,,0.166333824,0.610924065,0.045371821,0.177370267,Black,White
Brendan Rodgers,,0.304565519,0.014162192,0.09985459,0.581417665,Other,White
Brendon Davis,,1.43E-06,0.999330163,0.000608904,5.96E-05,Black,Black
Brendon Little,,0.008906104,0.687793016,0.194181092,0.109119701,Black,White
Brennan Bernardino,,0.019826556,0.14471215,0.123131551,0.71232973,Other,Other
Brent Rooker,,0.959604561,4.25E-05,0.001641773,0.038711172,White,White
Brent Suter,,0.811530888,0.001361051,0.004225533,0.182882473,White,White
Brett Baty,,0.947430909,0.000206936,0.045881548,0.006480679,White,White
Brett Martin,,0.142735869,0.000514152,0.782659909,0.074090131,Asian,White
Brett Phillips,,0.908607781,0.003289045,0.036230735,0.051872413,White,White
Brewer Hicklen,,0.997823596,2.25E-05,0.000455649,0.001698297,White,White
Brian Anderson,,0.331844032,0.000286236,0.001254383,0.666615285,Other,White
Brian Moran,,0.918343723,0.001567766,0.045907232,0.034181263,White,White
Brian O'Keefe,,0.145369276,0.270679653,0.335150473,0.248800643,Asian,White
Brian Serven,,0.815509796,0.00023126,0.003446534,0.180812389,White,White
Brock Burke,,0.42912212,0.001356678,0.101156984,0.468364138,Other,White
Brooks Raley,,0.498403609,0.020178411,0.398972134,0.082445843,White,White
Bruce Zimmermann,,0.506915331,0.061526913,0.161671097,0.26988665,White,White
Brusdar Graterol,,0.001842524,0.447811455,0.525461953,0.024884022,Asian,Other
Bryan Abreu,,0.002113174,0.089238249,0.649343315,0.259305292,Asian,Black
Bryan Baker,,0.211254358,0.012230995,0.448856079,0.327658508,Asian,White
Bryan De La Cruz,,8.96E-06,0.989972472,0.009709933,0.000308674,Black,Black
Bryan Garcia,,0.853827536,0.002091445,0.0038461,0.140234992,White,Other
Bryan Hoeing,,0.628391266,0.000603846,0.006984868,0.364019997,White,White
Bryan Lavastida,,0.01438242,0.28716284,0.638756212,0.05969853,Asian,White
Bryan Reynolds,,0.023742847,0.006343857,0.830430468,0.139482837,Asian,White
Bryan Shaw,,0.016912855,0.015897289,0.961440286,0.005749621,Asian,White
Bryce Elder,,0.978395581,6.86E-05,0.004779671,0.016756305,White,White
Bryce Harper,,0.435751915,0.158642471,0.107167088,0.29843856,White,White
Bryce Johnson,,0.58019191,0.007317234,0.180610236,0.231880695,White,White
Bryce Montes de Oca,,0.279800504,0.028059859,0.255112041,0.437027559,Other,Other
Bryse Wilson,,0.569984078,0.232102752,0.009151026,0.188762128,White,White
Bryson Stott,,0.003080924,0.001763153,0.9819691,0.013186794,Asian,White
Bubba Thompson,,0.000810683,0.965194523,0.004921065,0.029073814,Black,Black
Bubby Rossman,,0.177990824,0.08958751,0.407556005,0.324865632,Asian,White
Buck Farmer,,0.048500564,0.855762184,0.037483516,0.058253757,Black,White
Buddy Kennedy,,0.956592679,6.46E-05,0.003291516,0.040051324,White,White
Byron Buxton,,0.00025973,0.891622961,0.099461466,0.008655918,Black,Black
C.J. Cron,,0.108803861,0.331711054,0.392128531,0.167356484,Asian,White
CJ Abrams,,8.62E-05,0.87787801,0.108432572,0.013603214,Black,White
Cade Cavalli,,0.839731693,0.000539395,0.132430098,0.027298777,White,White
Cal Mitchell,,0.001266885,0.003566102,0.98780813,0.007358869,Asian,White
Cal Quantrill,,0.816568494,0.001083007,0.009252039,0.173096485,White,White
Cal Raleigh,,0.505572677,0.010120488,0.404546844,0.079759957,White,White
Cal Stevenson,,0.055525828,0.161910862,0.168344388,0.614218885,Other,White
Caleb Ferguson,,0.007016022,0.824085593,0.038199125,0.130699282,Black,White
Caleb Hamilton,,0.70989126,0.00061597,0.263939661,0.025553125,White,White
Caleb Kilian,,0.98966974,0.000186929,0.005262782,0.004880451,White,White
Caleb Smith,,0.313531041,0.02741003,0.143355207,0.515703738,Other,White
Caleb Thielbar,,0.853987455,0.00080447,0.048452386,0.096755639,White,White
Calvin Faucher,,0.978065908,1.83E-05,0.000555874,0.021359908,White,White
Cam Alldred,,0.011199967,0.0009682,0.973434942,0.014396884,Asian,White
Cam Gallagher,,0.111389548,0.039259739,0.629417617,0.21993313,Asian,White
Cam Vieaux,,0.933500588,0.00064538,0.017454038,0.048399935,White,White
Camilo Doval,,4.93E-05,0.98333019,0.015263631,0.001356844,Black,Black
Canaan Smith-Njigba,,0.000213014,0.398997605,0.596304139,0.00448518,Asian,Black
Carl Edwards Jr.,,0.000186274,0.881238937,0.11347681,0.005097998,Black,Black
Carlos Carrasco,,0.003420416,0.015348516,0.938758561,0.0424726,Asian,Other
Carlos Correa,,0.001323416,0.060566593,0.899175329,0.038934621,Asian,Other
Carlos Estévez,,0.004880943,0.074209206,0.517197497,0.403712381,Asian,Other
Carlos Hernández,,0.002479311,0.003871524,0.957144076,0.036505137,Asian,Other
Carlos Pérez,,0.001156171,0.020475332,0.914334628,0.064033795,Asian,Other
Carlos Rodón,,0.420570016,0.000658396,0.018709839,0.560061723,Other,Other
Carlos Santana,,1.23E-05,0.985531211,0.013862035,0.000594369,Black,Black
Carson Kelly,,0.131995007,0.05774549,0.377481624,0.432777837,Other,White
Casey Lawrence,,0.152551994,0.005074074,0.202359095,0.640014797,Other,White
Casey Mize,,0.978413224,6.47E-06,0.000320722,0.021259554,White,White
Cavan Biggio,,0.18718639,0.002451681,0.726326101,0.084035842,Asian,White
Cedric Mullins,,2.53E-05,0.997071505,0.002312781,0.000590331,Black,Black
Chad Green,,0.900350332,7.12E-05,0.035576774,0.064001614,White,White
Chad Kuhl,,0.540157557,0.00592673,0.239927598,0.213988122,White,White
Chad Pinder,,0.032950237,0.080339007,0.385171244,0.501539513,Other,White
Chad Smith,,0.057689521,0.514024794,0.057996072,0.370289579,Black,White
Chad Wallach,,0.898029447,4.06E-05,0.00203972,0.099890226,White,White
Chadwick Tromp,,0.000210306,0.00369174,0.986619737,0.009478214,Asian,Black
Charles Leblanc,,0.653272271,0.000474681,0.007114752,0.339138329,White,White
Charlie Blackmon,,0.213694185,0.016491819,0.106534552,0.663279437,Other,White
Charlie Culberson,,0.027584581,0.852589726,0.014673554,0.105152076,Black,White
Charlie Morton,,0.648218393,0.000493334,0.104652966,0.246635333,White,White
Chas McCormick,,0.31991443,0.293678015,0.218869707,0.167537805,White,White
Chase Anderson,,0.8223961,0.001963998,0.149806656,0.025833208,White,White
Chase De Jong,,0.15142262,0.010660206,0.03644125,0.801475927,Other,White
Chase Silseth,,0.002485642,0.000481793,0.994454833,0.002577666,Asian,White
Chasen Shreve,,0.080156177,0.564793766,0.232451193,0.122598905,Black,White
Chi Chi González,,0.058555223,0.059098296,0.449787349,0.432559167,Asian,Other
Chris Archer,,0.000871681,0.0033958,0.97813493,0.017597443,Asian,Other
Chris Bassitt,,0.917392135,0.000103646,0.004919983,0.077584211,White,White
Chris Devenski,,0.990435362,9.26E-05,0.007025449,0.002446623,White,White
Chris Ellis,,0.883759677,0.000138936,0.003997937,0.112103445,White,White
Chris Flexen,,0.673249424,0.000410657,0.231327525,0.09501233,White,White
Chris Martin,,0.012108768,0.007679359,0.943673338,0.036538534,Asian,White
Chris Mazza,,0.165661559,0.279368699,0.100213917,0.454755828,Other,White
Chris Okey,,0.609417796,0.053054467,0.068083088,0.2694446,White,White
Chris Owings,,0.849392354,0.000306534,0.014708079,0.135593087,White,White
Chris Paddack,,0.396521837,0.16213876,0.164422984,0.276916459,White,White
Chris Sale,,0.934853733,8.87E-05,0.005140856,0.059916776,White,White
Chris Stratton,,0.246314928,0.061003521,0.034393316,0.658288211,Other,White
Chris Taylor,,0.048398081,0.784283042,0.038703649,0.128615271,Black,White
Christian Arroyo,,0.203053132,0.112731852,0.618866846,0.065348165,Asian,White
Christian Bethancourt,,0.000957168,0.283192754,0.524321035,0.191529076,Asian,Black
Christian Lopes,,0.003866075,0.000511746,0.977271488,0.01835072,Asian,Other
Christian Vázquez,,0.561543226,0.003005505,0.364652042,0.070799198,White,Other
Christian Walker,,0.121568859,0.044574432,0.754734274,0.079122361,Asian,White
Christian Yelich,,0.033127829,0.001524981,0.717511376,0.247835822,Asian,White
Christopher Morel,,0.004217077,0.590027869,0.167200823,0.238554285,Black,Black
Chuckie Robinson,,1.41E-05,0.990715623,0.008520384,0.000749874,Black,Black
Cionel Pérez,,0.198289394,0.001299856,0.0225981,0.777812712,Other,Other
Clarke Schmidt,,0.217778832,0.00306945,0.692903659,0.08624799,Asian,White
Clay Holmes,,0.700704098,0.000102525,0.00617728,0.293016091,White,White
Clayton Kershaw,,0.010727535,0.005718105,0.924504928,0.059049359,Asian,White
Clint Frazier,,0.487071872,0.052270088,0.353641751,0.107016217,White,White
Cody Bellinger,,0.256680876,0.003994948,0.270302903,0.469021261,Other,White
Cody Morris,,0.206872851,0.144835889,0.071394691,0.576896608,Other,White
Cody Poteet,,0.974073589,7.32E-05,0.009748498,0.016104707,White,White
Cody Sedlock,,0.900103271,0.000164522,0.003674505,0.096057671,White,White
Cody Stashak,,0.953359127,1.75E-05,0.003373732,0.043249557,White,White
Cody Thomas,,0.484203905,0.037652913,0.203397833,0.274745315,White,White
Cole Irvin,,0.085899949,0.028488271,0.549501844,0.336109944,Asian,White
Cole Ragans,,0.134339303,0.000945884,0.101884622,0.762830153,Other,White
Cole Sands,,0.002371163,0.002062751,0.991532769,0.004033279,Asian,White
Cole Sulser,,0.206607759,0.037090145,0.076731095,0.679570973,Other,White
Cole Tucker,,0.504194617,0.007135805,0.002805056,0.485864401,White,White
Cole Waites,,0.882090271,0.001588549,0.03342201,0.08289911,White,White
Colin Holderman,,0.715969622,4.52E-05,0.003953284,0.280031841,White,White
Colin Moran,,0.488413721,0.005359143,0.048427384,0.45779977,White,White
Colin Poche,,0.562351763,0.022327598,0.122116987,0.293203637,White,White
Collin McHugh,,0.42107904,0.01504326,0.029919154,0.533958584,Other,White
Collin Snider,,0.220916405,0.589337289,0.068564025,0.121182391,Black,White
Collin Wiles,,0.824244559,0.004208729,0.001695153,0.16985165,White,White
Conner Capel,,0.948815823,0.001505217,0.005692211,0.043986765,White,White
Conner Menez,,0.083536856,0.391001433,0.324635277,0.200826444,Black,White
Connor Brogdon,,0.353855044,0.000644519,0.025252935,0.620247513,Other,White
Connor Joe,,0.000259905,0.000374423,0.998940946,0.000424712,Asian,Asian
Connor Overton,,0.424549758,0.01084544,0.075054653,0.489550218,Other,White
Connor Sadzeck,,0.416344166,0.0177102,0.204473179,0.36147251,White,White
Connor Seabold,,0.177023664,0.238237888,0.138150575,0.44658792,Other,Other
Connor Wong,,0.11917758,0.380144298,0.073447877,0.427230161,Other,Other
Cooper Criswell,,0.980252743,0.000114727,0.011764306,0.007868124,White,White
Cooper Hummel,,0.139688492,0.294279039,0.015089447,0.55094298,Other,White
Corbin Burnes,,0.934852183,0.000578299,0.000704325,0.063865283,White,White
Corbin Carroll,,0.64386344,0.00089814,0.252859113,0.102379311,White,White
Corbin Martin,,0.941032469,3.82E-05,0.000838513,0.05809086,White,White
Corey Dickerson,,0.979685843,7.37E-05,0.016274455,0.003965986,White,White
Corey Kluber,,0.958825409,0.000255807,0.018151637,0.022767224,White,White
Corey Knebel,,0.970160723,0.000465968,0.019037748,0.010335521,White,White
Corey Seager,,0.743225038,0.000561955,0.002340757,0.253872141,White,White
Cory Abbott,,0.081994973,0.556155086,0.15854693,0.203302991,Black,White
Cory Spangenberg,,0.365343958,0.006864058,0.036335716,0.591456264,Other,White
Craig Kimbrel,,0.475058198,0.001086234,0.391768748,0.132086735,White,White
Craig Stammen,,0.392092705,0.000615801,0.302048727,0.305242792,White,White
Cristian Javier,,0.00616775,0.832057714,0.14582235,0.015952168,Black,Black
Cristian Pache,,0.000971827,0.861133516,0.09066329,0.047231384,Black,Black
Cristofer Ogando,,0.000298015,0.960742295,0.024144668,0.014814981,Black,Black
Cristopher Sánchez,,9.35E-05,0.558211148,0.436600035,0.005095376,Black,Black
Curt Casali,,0.216461495,0.003705437,0.041266585,0.738566548,Other,White
César Hernández,,0.001705894,0.00077857,0.988415582,0.009099936,Asian,Other
César Valdez,,0.001917576,0.583012521,0.393138822,0.02193107,Black,Other
DJ LeMahieu,,0.03771982,5.97E-05,0.958459397,0.003761106,Asian,White
DJ Stewart,,0.012730489,0.901202202,0.074535966,0.011531445,Black,White
DL Hall,,0.247363269,0.002349532,0.72273391,0.027553278,Asian,White
Dairon Blanco,,8.99E-05,0.45219785,0.546613115,0.001099099,Asian,Black
Dakota Hudson,,0.960852921,0.000131994,0.001448582,0.037566528,White,White
Dallas Keuchel,,0.05086055,0.708435655,0.121389414,0.119314346,Black,White
Dalton Guthrie,,0.465295792,0.000268937,0.010137517,0.524297833,Other,White
Damon Jones,,0.802507043,0.000105131,0.175058647,0.02232907,White,White
Dane Dunning,,0.003029478,0.000389228,0.989912405,0.006668972,Asian,White
Daniel Bard,,0.114028819,0.193885386,0.327589381,0.364496365,Other,White
Daniel Castano,,0.500997782,0.00169999,0.010048509,0.487253681,White,Other
Daniel Duarte,,0.010520067,0.401678771,0.229914407,0.357886732,Black,White
Daniel Hudson,,0.090248473,0.168256551,0.066211952,0.675283043,Other,White
Daniel Lynch,,0.971427739,0.001221272,0.010186568,0.017164423,White,White
Daniel Mengden,,0.247766957,0.012795839,0.032152588,0.7072846,Other,White
Daniel Norris,,0.644568384,0.028119266,0.046540341,0.280772015,White,White
Daniel Vogelbach,,0.235166728,0.002337378,0.681121146,0.081374779,Asian,Other
Danny Coulombe,,0.335513175,0.000367751,0.447930221,0.216188766,Asian,White
Danny Jansen,,0.953138292,0.001623559,0.011112734,0.034125529,White,White
Danny Mendick,,0.05160246,0.533166647,0.304455232,0.110775646,Black,White
Danny Young,,0.02278313,0.040222313,0.357321382,0.579673205,Other,White
Dansby Swanson,,0.014376144,0.634387612,0.229008479,0.122227783,Black,White
Dany Jiménez,,0.000361329,0.981521726,0.015026631,0.003090284,Black,Black
Darick Hall,,0.001040054,0.285068363,0.603390651,0.110500886,Asian,Black
Darin Ruf,,0.184956506,0.000415849,0.005726754,0.808900947,Other,White
Darren O'Day,,0.271071851,0.04119391,0.209664524,0.478069752,Other,White
Darwinzon Hernandez,,0.000106851,0.022064138,0.965883289,0.01194578,Asian,Other
