First Name,Last Name,White,Black,Asian,Other,Highest Prob. Score,Truth,Details,Correctness,More Details
Adrián Martínez,,0.11923676,0.00139546,0.659402541,0.219965296,Asian,Other,Hispanic,X,
AJ Pollock,,0.40651691,0.032272473,0.012668189,0.548542455,Other,White,,,
Akil Baddoo,,3.85E-06,0.999453247,0.000431012,0.000111905,Black,Black,,,
Alan Trejo,,0.539844513,0.005875401,0.047129308,0.407150701,White,Other,Hispanic,X,
Albert Abreu,,0.000896284,0.210752606,0.677990803,0.110360302,Asian,Other,Dominican,X,
Albert Almora Jr.,,0.082248129,8.87E-05,0.887798432,0.029864651,Asian,Other,Cuban,X,
Albert Pujols,,0.000214497,0.059815213,0.928513456,0.011456779,Asian,Other,Dominican,X,
Alcides Escobar,,2.23E-05,0.985693812,0.013439508,0.000844325,Black,Black,,,
Alec Bohm,,0.837968946,0.001252108,0.01801751,0.142761439,White,White,,,
Alec Burleson,,0.022615094,0.223981246,0.465610946,0.287792776,Asian,White,,,
Alec Mills,,0.324559689,0.000345379,0.661302563,0.013792396,Asian,White,,,
Aledmys Díaz,,0.511767924,0.000366151,0.006554746,0.481311157,White,Other,Hispanic,X,
Alejandro Kirk,,0.007127823,8.07E-05,0.989187311,0.00360418,Asian,White,,,
Alejo Lopez,,0.753275037,0.000590656,0.027872057,0.21826227,White,Other,Hispanic,X,
Alek Manoah,,0.049146786,0.282118797,0.411372008,0.257362423,Asian,Other,Cuban,X,
Alek Thomas,,0.027530393,0.337508857,0.199630484,0.435330296,Other,Other,Mexican,X,
Alex Bregman,,0.976796687,9.43E-06,0.004644286,0.018549671,White,White,,,
Alex Call,,0.802922308,0.000477748,0.006395965,0.190204015,White,White,,,
Alex Claudio,,0.012018448,0.217301145,0.097084126,0.673596281,Other,Other,Mexican,X,
Alex Cobb,,0.312915534,0.009561452,0.263412317,0.414110683,Other,White,,X,
Alex Colomé,,0.000263496,0.925433934,0.056837138,0.017465393,Black,Other,Dominican,X,
Alex Dickerson,,0.066119134,0.001005222,0.857941648,0.074934009,Asian,White,,X,
Alex Faedo,,0.033820692,0.012463504,0.015128861,0.938586928,Other,White,,X,
Alex Jackson,,0.015919117,0.027257919,0.715164572,0.241658357,Asian,White,,X,
Alex Kirilloff,,0.286111623,0.000393239,0.03819126,0.675303906,Other,White,,X,
Alex Lange,,0.976867914,3.15E-05,0.001775768,0.021324805,White,White,,,
Alex Verdugo,,0.148433164,0.013687229,0.673547118,0.164332505,Asian,White,,,
Alex Vesia,,0.304357737,0.001294436,0.009900061,0.684447676,Other,Other,,,
Alex Wells,,0.886682391,0.003538754,0.030844146,0.07893472,White,White,,,
Alex Wood,,0.020656651,0.763997734,0.178627596,0.036718059,Black,White,,,
Alex Young,,0.710003197,0.029652406,0.036086729,0.224257611,White,White,,,
Alexis Díaz,,2.66E-05,0.9644261,0.033878118,0.001669233,Black,Other,Dominican,X,
Alfonso Rivas,,0.140558764,0.001023663,0.005655577,0.852762029,Other,Other,Mexican,,
Amed Rosario,,0.000590362,0.161933884,0.829547963,0.007927792,Asian,Other,Dominican,X,
Amir Garrett,,6.35E-05,0.758766472,0.237582325,0.003587784,Black,Black,,,
Anderson Espinoza,,3.96E-05,0.011768749,0.985551357,0.0026403,Asian,Other,,,
Anderson Severino,,2.24E-05,0.998299301,0.001239801,0.000438556,Black,Other,Dominican,X,
Andre Jackson,,8.51E-05,0.979583919,0.017465112,0.002865895,Black,Black,,,
Andre Pallante,,0.955522776,0.000157036,0.026119055,0.018201191,White,White,,,
Andrelton Simmons,,0.020294793,0.085685283,0.660346702,0.23367318,Asian,White,,,
Andres Machado,,0.016647993,0.005873593,0.160705047,0.816773355,Other,Other,,,
Andrew Bellatti,,0.156361446,0.001026827,0.819489333,0.023122396,Asian,White,,,
Andrew Benintendi,,0.412216216,0.00030909,0.031329423,0.556145273,Other,White,,,
Andrew Chafin,,0.326629996,0.033567026,0.413203297,0.226599656,Asian,White,,,
Andrew Heaney,,0.551383674,0.000327073,0.006236244,0.442052998,White,White,,,
Andrew Kittredge,,0.229023412,0.003021557,0.051958007,0.7159971,Other,White,,,
Andrew Knapp,,0.698788226,0.015006008,0.139299709,0.146906063,White,White,,,
Andrew Knizner,,0.550502658,0.009673497,0.11956602,0.320257835,White,White,,,
Andrew McCutchen,,1.80E-06,0.999471962,0.000463041,6.33E-05,Black,Black,,,
Andrew Nardi,,0.420566201,0.010639291,0.022811076,0.545983447,Other,White,,,
Andrew Vasquez,,0.640851736,0.001492595,0.014614974,0.343040679,White,Other,,,
Andrew Vaughn,,0.936724663,9.79E-05,0.036921825,0.026255637,White,White,,,
Andrew Velazquez,,0.592931211,0.002398379,0.361658977,0.043011488,White,Other,,,
Andrew Wantz,,0.832841992,0.01327126,0.008985938,0.144900884,White,White,,,
Andrés Giménez,,0.089155227,0.028700994,0.246559829,0.635583922,Other,Other,,,
Andrés Muñoz,,0.001947822,0.000108523,0.996428992,0.00151468,Asian,Other,,,
Andy Ibáñez,,9.76E-05,0.914305031,0.064419365,0.021177858,Black,Other,,,
Aneurys Zabala,,0.000344808,0.963954329,0.031101171,0.004599711,Black,Oblack,,,
Angel De Jesus,,6.93E-06,0.998552859,0.001013931,0.000426336,Black,Other,,,
Angel Rondón,,0.000145672,0.777025998,0.195879805,0.026948541,Black,Other,,,
Angel Zerpa,,0.00015736,0.115832217,0.8767727,0.007237736,Asian,Other,,,
Anthony Alford,,0.000518544,0.98776859,0.008951414,0.002761497,Black,Black,,,
Anthony Banda,,0.734520972,0.001255883,0.008165807,0.256057356,White,White,,,
Anthony Bass,,0.345046699,0.001390292,0.005960585,0.647602387,Other,White,,,
Anthony Bemboom,,0.598293781,0.092640914,0.048707184,0.260358103,White,White,,,
Anthony Bender,,0.275504947,0.011478877,0.122587843,0.590428397,Other,White,,,
Anthony Castro,,0.000336345,0.113778494,0.863521837,0.022363237,Asian,Other,,,
Anthony DeSclafani,,0.920953274,5.88E-05,0.009586839,0.069401099,White,White,,,
Anthony Gose,,0.003623234,0.911505044,0.013574389,0.071297471,Black,Other,,,
Anthony Kay,,0.329809666,0.00220928,0.011858151,0.656122923,Other,White,,,
Anthony Misiewicz,,0.406467736,0.009390092,0.520936146,0.06320603,Asian,White,,,
Anthony Rendon,,0.081655681,0.098479442,0.230815465,0.589049369,Other,White,,,
Anthony Rizzo,,0.004078546,5.61E-05,0.994576569,0.001288676,Asian,White,,,
Anthony Santander,,0.007752854,0.029645003,0.790694024,0.171908066,Asian,Other,,,
Antonio Senzatela,,0.036840282,0.195250973,0.110530089,0.657378588,Other,Other,,,
Aníbal Sánchez,,0.60285759,0.000148726,0.037370225,0.359623447,White,Other,,,
Aramis Garcia,,0.194684654,0.016104594,0.022875342,0.76633543,Other,Other,,,
Archie Bradley,,0.154008389,0.173404202,0.623697042,0.048890377,Asian,White,,,
Aristides Aquino,,2.12E-05,0.997243881,0.00256893,0.000166029,Black,Black,,,
Arodys Vizcaíno,,5.72E-06,0.999647021,0.000235378,0.000111859,Black,Black,,,
Aroldis Chapman,,0.000568676,0.490002692,0.505811316,0.003617303,Asian,Black,,,
Art Warren,,0.00313677,0.091865733,0.897352199,0.007645295,Asian,White,,,
Ashton Goudeau,,0.73638922,0.000495928,0.005191311,0.257923506,White,White,,,
Austin Adams,,0.029721374,0.789438844,0.093618904,0.087220818,Black,White,,,
Austin Allen,,0.701045275,0.0005843,0.255689729,0.042680756,White,White,,,
Austin Barnes,,0.016361101,0.005697676,0.57132659,0.406614639,Asian,White,,,
Austin Brice,,0.760674953,0.000634534,0.201178044,0.037512353,White,White,,,
Austin Davis,,0.125912234,0.194753319,0.037430561,0.641903937,Other,White,,,
Austin Dean,,0.016898191,0.172245905,0.664220903,0.146634936,Asian,White,,,
Austin Gomber,,0.117344633,0.10452351,0.117934428,0.660197422,Other,White,,,
Austin Hays,,0.519615293,0.000144728,0.465059707,0.015180219,White,White,,,
Austin Hedges,,0.100662149,0.017878376,0.077774102,0.80368533,Other,White,,,
Austin Meadows,,0.607753694,0.003871709,0.008004899,0.380369678,White,White,,,
Austin Nola,,0.096551009,0.132974014,0.130006957,0.640468016,Other,White,,,
Austin Pruitt,,0.825497985,0.001428822,0.001131494,0.171941638,White,White,,,
Austin Riley,,0.918869436,7.34E-05,0.004056654,0.077000529,White,White,,,
Austin Romine,,0.185151398,0.111737944,0.348430025,0.354680661,Other,White,,,
Austin Slater,,0.343242407,0.069064155,0.113228345,0.474465087,Other,White,,,
Austin Voth,,0.898767889,0.000145718,0.024493107,0.076593317,White,White,,,
Austin Warren,,0.392873645,0.004629505,0.40998583,0.192511097,Asian,White,,,
Austin Wynns,,0.288076162,0.00251019,0.002832625,0.706581071,Other,White,,,
Avisaíl García,,0.002977581,0.000177296,0.986365361,0.010479739,Asian,Other,,,
Bailey Falter,,0.461890101,0.001490616,0.508017699,0.028601641,Asian,White,,,
Bailey Ober,,0.112061076,0.23942475,0.436113633,0.212400518,Asian,White,,,
Beau Brieske,,0.720004976,0.000240996,0.001883169,0.277870916,White,White,,,
Beau Sulser,,0.175024658,0.105748646,0.539794018,0.179432712,Asian,White,,,
Ben DeLuzio,,0.001886073,0.902369201,0.070015138,0.025729564,Black,White,,,
Ben Gamel,,0.397688538,0.036710922,0.385995311,0.179605234,White,White,,,
Bennett Sousa,,0.042521495,0.003844325,0.005356465,0.948277593,Other,White,,,
Billy Hamilton,,5.08E-06,0.998601735,0.001224314,0.000168932,Black,Black,,,
Billy McKinney,,0.024044342,0.0008264,0.969981332,0.005147958,Asian,White ,,,
Blake Snell,,0.121470161,0.001158233,0.100905528,0.776466073,Other,White,,,
Blake Taylor,,0.308422983,0.001582497,0.011637672,0.678356841,Other,White,,,
Blake Treinen,,0.325088203,0.008948732,0.046416872,0.61954622,Other,White,,,
Bligh Madris,,0.084197789,0.001169292,0.749749975,0.164882989,Asian,Other,,,
Bo Bichette,,0.024433509,0.002237393,0.936690064,0.036639036,Asian,White,,,
Bo Naylor,,0.003134592,0.328739017,0.22899121,0.439135155,Other,Black,,,
Bobby Bradley,,0.000661826,0.875332594,0.109980459,0.014025158,Black,Black,,,
Bobby Dalbec,,0.003542324,0.000139783,0.976667339,0.019650554,Asian,White,,,
Bobby Witt Jr.,,0.054005917,0.00017941,0.939168784,0.006645854,Asian,White,,,
Bowden Francis,,0.984717548,4.22E-05,0.002754378,0.012485897,White,White,,,
Brad Boxberger,,0.755612075,0.007956611,0.166963304,0.069467988,White,White,,,
Brad Hand,,0.182168409,0.010243163,0.714475622,0.093112806,Asian,White,,,
Brad Keller,,0.96237421,3.21E-05,0.001838309,0.035755293,White,White,,,
Brad Miller,,0.985384643,0.000163752,0.001695864,0.012755765,White,White,,,
Bradley Zimmer,,0.858055592,0.003100187,0.001811345,0.137032915,White,White,,,
Brady Singer,,0.587012708,0.067233481,0.303126489,0.042627327,White,White,,,
Brandon Belt,,0.009787694,0.769722641,0.176948515,0.043541065,Black,White,,,
Brandon Bielak,,0.835536718,6.76E-05,0.01478239,0.149613228,White,White,,,
Brandon Crawford,,0.120811418,0.395776659,0.068195866,0.415215999,Other,White,,,
Brandon Dixon,,0.861074626,0.000150523,0.077108489,0.061666375,White,White,,,
Brandon Drury,,0.64004153,0.001476359,0.007745957,0.350736111,White,White,,,
Brandon Hughes,,0.667423069,0.043110557,0.036519718,0.252946548,White,White,,,
Brandon Lowe,,0.28018555,0.193539232,0.145631704,0.380643509,Other,White,,,
Brandon Marsh,,0.098754302,0.384238094,0.289456733,0.22755082,Black,White,,,
Brandon Nimmo,,0.111689568,0.009204392,0.851776628,0.027329394,Asian,White,,,
Brandon Woodruff,,0.12082544,0.024895012,0.593553112,0.260726482,Asian,White,,,
Braxton Garrett,,0.976630569,0.000166627,0.012195931,0.011006841,White,White,,,
Brayan Bello,,2.68E-05,0.571296573,0.426814692,0.001861911,Black,Black,,,
Brendan Donovan,,0.465180844,0.002169385,0.396733367,0.135916434,White,White,,,
Brendan Rodgers,,0.073865347,0.58044672,0.085026825,0.26066111,Black,White,,,
Brendon Davis,,1.84E-06,0.998785913,0.001125416,8.69E-05,Black,Black,,,
Brendon Little,,0.0089061,0.687793076,0.194181104,0.109119693,Black,White,,,
Brennan Bernardino,,0.005598147,0.822090805,0.07194949,0.100361538,Black,Black,,,
Brent Rooker,,0.979879916,0.000198704,0.002147705,0.017773648,White,White,,,
Brent Suter,,0.988422573,0.000127394,0.001113478,0.010336571,White,White,,,
Brett Baty,,0.947430909,0.000206937,0.045881605,0.006480683,White,White,,,
Brett Martin,,0.142735735,0.000514152,0.782659984,0.074090125,Asian,White,,,
Brett Phillips,,0.908607602,0.003289055,0.036230863,0.051872532,White,White,,,
Brewer Hicklen,,0.989957631,0.000106798,0.000835587,0.009100075,White,White,,,
Brian Anderson,,0.148480982,0.168728992,0.063777448,0.619012557,Other,White,,,
Brian Moran,,0.918343723,0.001567766,0.045907232,0.034181273,White,White,,,
Brian O'Keefe,,0.624345779,0.082361042,0.255575994,0.03771717,White,White,,,
Brian Serven,,0.943849504,1.51E-05,0.001162946,0.054972401,White,White,,,
Brock Burke,,0.988603234,4.67E-05,0.00624738,0.005102607,White,White,,,
Brooks Raley,,0.498403251,0.02017846,0.39897236,0.082445944,White,White,,,
Bruce Zimmermann,,0.645209074,0.006099751,0.076995693,0.271695495,White,White,,,
Brusdar Graterol,,0.001842524,0.447811455,0.525461953,0.024884022,Asian,Other,,,
Bryan Abreu,,0.002113174,0.089238249,0.649343315,0.259305292,Asian,Other,,,
Bryan Baker,,0.53984791,0.005310158,0.230799605,0.224042274,White,White,,,
Bryan De La Cruz,,4.33E-05,0.831332803,0.167785801,0.000838097,Black,Black,,,
Bryan Garcia,,0.853827536,0.002091448,0.003846103,0.140235003,White,Other,,,
Bryan Hoeing,,0.761310518,0.004718038,0.049270391,0.184701063,White,White,,,
Bryan Lavastida,,0.294606417,0.00454598,0.057383429,0.643464074,Other,Other,,,
Bryan Reynolds,,0.023742847,0.006343861,0.83043047,0.139482846,Asian,White,,,
Bryan Shaw,,0.016912859,0.015897296,0.961440197,0.005749624,Asian,White,,,
Bryce Elder,,0.978395581,6.86E-05,0.004779671,0.016756305,White,White,,,
Bryce Harper,,0.435752183,0.158642411,0.107166885,0.298438571,White,White,,,
Bryce Johnson,,0.636218071,0.005478418,0.033936765,0.324366648,White,White,,,
Bryce Montes de Oca,,0.279800475,0.028059836,0.255111745,0.437027983,Other,Other,,,
Bryse Wilson,,0.36904493,0.337967217,0.017143612,0.275844224,White,White,,,
Bryson Stott,,0.00308092,0.00176315,0.981969159,0.013186783,Asian,White,,,
Bubba Thompson,,0.001301017,0.666157186,0.183796417,0.148745457,Black,Black,,,
Bubby Rossman,,0.177990809,0.08958751,0.407556031,0.324865647,Asian,White,,,
Buck Farmer,,0.048500564,0.855762184,0.037483515,0.058253739,Black,White,,,
Buddy Kennedy,,0.956592679,6.46E-05,0.003291516,0.040051324,White,White,,,
Byron Buxton,,0.00025973,0.891622961,0.099461466,0.008655918,Black,Black,,,
C.J. Cron,,0.033930201,0.210652724,0.650338975,0.105078023,Asian,White,,,
Cade Cavalli,,0.783437252,0.000222431,0.024842893,0.191497415,White,Other,,,
Cal Mitchell,,0.001266887,0.003566106,0.98780819,0.007358878,Asian,White,,,
Cal Quantrill,,0.907052934,6.74E-05,0.002491837,0.09038778,White,White,,,
Cal Raleigh,,0.356625378,0.001524394,0.615261115,0.026589046,Asian,White,,,
Cal Stevenson,,0.144441143,0.011409697,0.028181197,0.815967929,Other,White,,,
Caleb Ferguson,,0.007016022,0.824085593,0.038199125,0.130699282,Black,White,,,
Caleb Hamilton,,0.709891438,0.00061597,0.263939527,0.025553145,White,White,,,
Caleb Kilian,,0.98966974,0.000186929,0.005262782,0.004880451,White,White,,,
Caleb Smith,,0.313531041,0.02741003,0.143355222,0.515703678,Other,White,,,
Caleb Thielbar,,0.853987575,0.00080447,0.048452318,0.096755598,White,White,,,
Calvin Faucher,,0.978065908,1.83E-05,0.000555873,0.021359907,White,White,,,
Cam Alldred,,0.011200008,0.000968203,0.973434846,0.014396938,Asian,White,,,
Cam Gallagher,,0.435466439,0.007223721,0.458852659,0.098457091,Asian,White,,,
Cam Vieaux,,0.933500588,0.000645381,0.017454057,0.048399996,White,White,,,
Camilo Doval,,0.000706657,0.965452909,0.015105013,0.018735251,Black,Black,,,
Canaan Smith-Njigba,,0.000213014,0.398997605,0.596304154,0.004485182,Asian,Black,,,
Carl Edwards Jr.,,0.001445159,0.724232018,0.26550502,0.008817779,Black,Black,,,
Carlos Carrasco,,0.003420421,0.015348528,0.938758511,0.042472553,Asian,Other,,,
Carlos Correa,,0.001323416,0.060566593,0.899175329,0.038934621,Asian,Other,,,
Carlos Estévez,,0.004880943,0.074209206,0.517197568,0.403712232,Asian,Other,,,
Carlos Hernández,,0.000607311,0.002280147,0.990278022,0.006834565,Asian,Other,,,
Carlos Pérez,,0.011759469,0.20236443,0.65431006,0.131566009,Asian,Other,,,
Carlos Rodón,,0.420570016,0.000658396,0.01870983,0.560061753,Other,Other,,,
Carlos Santana,,1.23E-05,0.985531211,0.013862044,0.00059437,Black,Other,,,
Carson Kelly,,0.131995007,0.05774549,0.377481624,0.432777837,Other,White,,,
Casey Lawrence,,0.473426759,0.001335324,0.436077869,0.089160083,White,White,,,
Casey Mize,,0.955570638,3.99E-05,0.01302377,0.031365621,White,White,,,
Cavan Biggio,,0.548368692,0.000127143,0.417647614,0.033856528,White,White,,,
Cedric Mullins,,6.19E-05,0.994938493,0.004057708,0.000941925,Black,Black,,,
Chad Green,,0.7269485,0.000113769,0.24588505,0.027052701,White,Other,,,
Chad Kuhl,,0.100047961,0.100380339,0.087014746,0.712557018,Other,Other,,,
Chad Pinder,,0.032950252,0.080339022,0.385171217,0.501539446,Other,White,,,
Chad Smith,,0.73682946,0.002034305,0.145477236,0.115658984,White,White,,,
Chad Wallach,,0.898029447,4.06E-05,0.002039721,0.099890256,White,White,,,
Chadwick Tromp,,0.000210306,0.003691738,0.98661976,0.009478204,Asian,Other,,,
Charles Leblanc,,0.872756004,0.002058914,0.084939351,0.040245701,White,White,,,
Charlie Blackmon,,0.171090037,0.211577222,0.222376332,0.394956395,Other,White,,,
Charlie Culberson,,0.027584573,0.852589726,0.014673564,0.105152074,Black,White,,,
Charlie Morton,,0.648218691,0.000493333,0.104652865,0.246635072,White,White,,,
Chas McCormick,,0.319914192,0.293678254,0.21886974,0.167537872,White,White,,,
Chase Anderson,,0.822396159,0.001963996,0.149806693,0.025833205,White,White,,,
Chase De Jong,,0.15142262,0.010660206,0.03644125,0.801475927,Other,White,,,
Chase Silseth,,0.002485639,0.000481793,0.994454922,0.002577663,Asian,White,,,
Chasen Shreve,,0.974656343,3.63E-05,0.002571627,0.022735701,White,White,,,
Chi Chi González,,0.862835467,0.003612898,0.125397598,0.008153986,White,Other,,,
Chris Archer,,0.000871678,0.003395793,0.978135246,0.017597364,Asian,Other,,,
Chris Bassitt,,0.991823971,0.000229499,0.001296204,0.006650379,White,White,,,
Chris Devenski,,0.990435362,9.26E-05,0.007025453,0.002446622,White,White,,,
Chris Ellis,,0.883759677,0.000138936,0.003997938,0.112103526,White,White,,,
Chris Flexen,,0.00346543,3.62E-05,0.995873987,0.000624402,Asian,White,,,
Chris Martin,,0.012108768,0.007679359,0.943673338,0.036538545,Asian,White,,,
Chris Mazza,,0.165661409,0.279368788,0.100213861,0.454755947,Other,White,,,
Chris Okey,,0.609417737,0.053054493,0.068083108,0.269444712,White,White,,,
Chris Owings,,0.849392354,0.000306534,0.014708073,0.13559306,White,White,,,
Chris Paddack,,0.396521837,0.162138715,0.164422996,0.276916511,White,White,,,
Chris Sale,,0.934853613,8.87E-05,0.00514086,0.059916819,White,White,,,
Chris Stratton,,0.96946609,0.000282469,0.001285014,0.028966299,White,White,,,
Chris Taylor,,0.048398107,0.784282744,0.038703729,0.128615435,Black,White,,,
Christian Arroyo,,0.203052625,0.112731926,0.618867366,0.065348104,Asian,White,,,
Christian Bethancourt,,0.000957166,0.283193022,0.524321085,0.191528762,Asian,Black,,,
Christian Lopes,,0.003866083,0.000511747,0.977271399,0.01835076,Asian,Other,,,
Christian Vázquez,,0.561541557,0.003005512,0.364653682,0.070799228,White,Other,,,
Christian Walker,,0.121568844,0.044574507,0.754734278,0.079122402,Asian,White,,,
Christian Yelich,,0.044292189,0.001980184,0.71247077,0.241256803,Asian,White,,,
Christopher Morel,,0.004217076,0.590027809,0.167200847,0.238554224,Black,Other,,,
Chuckie Robinson,,1.41E-05,0.990715623,0.008520379,0.000749873,Black,Black,,,
Cionel Pérez,,0.578101277,0.000864923,0.245758465,0.175275389,White,Other,,,
CJ Abrams,,0.008748185,0.554592431,0.190001572,0.246657763,Black,Black,,,
Clarke Schmidt,,0.217778757,0.003069449,0.692904016,0.086247813,Asian,White,,,
Clay Holmes,,0.700703979,0.000102525,0.006177281,0.293016225,White,White,,,
Clayton Kershaw,,0.010727545,0.005718099,0.924504921,0.059049354,Asian,White,,,
Clint Frazier,,0.167013079,0.075095244,0.582212911,0.175678764,Asian,White,,,
Cody Bellinger,,0.256680995,0.003994947,0.270302991,0.469021156,Other,White,,,
Cody Morris,,0.293031454,0.003476958,0.132051469,0.57144019,Other,White,,,
Cody Poteet,,0.974073589,7.32E-05,0.009748479,0.016104685,White,White,,,
Cody Sedlock,,0.900103271,0.000164522,0.003674506,0.096057729,White,White,,,
Cody Stashak,,0.953359246,1.75E-05,0.003373736,0.043249517,White,White,,,
Cody Thomas,,0.73382324,0.015554658,0.024228375,0.226393715,White,White,,,
Cole Irvin,,0.717742324,0.000189856,0.017257074,0.264810763,White,White,,,
Cole Ragans,,0.880238712,0.000356844,0.090174327,0.029230046,White,White,,,
Cole Sands,,0.002371161,0.002062749,0.991532844,0.004033274,Asian,White,,,
Cole Sulser,,0.206607819,0.037090085,0.07673101,0.679571062,Other,White,,,
Cole Tucker,,0.093175724,0.027113307,0.043221583,0.83648933,Other,White,,,
Cole Waites,,0.236174896,0.004325571,0.682974751,0.076524809,Asian,White,,,
Colin Holderman,,0.715969622,4.52E-05,0.003953284,0.280031841,White,White,,,
Colin Moran,,0.679483712,0.006736592,0.02576279,0.288016833,White,White,,,
Colin Poche,,0.562351763,0.022327593,0.122116938,0.293203637,White,White,,,
Collin McHugh,,0.421078891,0.015043279,0.029919155,0.533958644,Other,White,,,
Collin Snider,,0.597765863,0.068138376,0.038332069,0.295763675,White,White,,,
Collin Wiles,,0.824244618,0.004208717,0.001695149,0.169851564,White,White,,,
Conner Capel,,0.488076746,0.038066193,0.139861073,0.333996013,White,White,,,
Conner Menez,,0.083536863,0.391001314,0.324635321,0.200826474,Black,White,,,
Connor Brogdon,,0.353855491,0.000644518,0.025252896,0.620247096,Other,White,,,
Connor Joe,,0.000259905,0.000374423,0.998940946,0.000424712,Asian,Asian,,,
Connor Overton,,0.42454949,0.010845443,0.075054622,0.489550456,Other,White,,,
Connor Sadzeck,,0.416343957,0.017710205,0.204473363,0.361472435,White,White,,,
Connor Seabold,,0.058598068,0.091001622,0.309455911,0.540944375,Other,White,,,
Connor Wong,,0.119177729,0.380143732,0.073447857,0.42723066,Other,Other,,,
Cooper Criswell,,0.980252743,0.000114726,0.011764281,0.007868111,White,White,,,
Cooper Hummel,,0.052535545,0.349261165,0.026067382,0.572135828,Other,White,,,
Corbin Burnes,,0.886401057,0.000844842,0.010551721,0.102202334,White,White,,,
Corbin Carroll,,0.64386344,0.00089814,0.252859127,0.102379262,White,White,,,
Corbin Martin,,0.941032469,3.82E-05,0.000838512,0.058090817,White,White,,,
Corey Dickerson,,0.987234294,4.76E-05,0.00422804,0.008490169,White,White,,,
Corey Kluber,,0.95882529,0.000255808,0.018151704,0.022767274,White,White,,,
Corey Knebel,,0.970160782,0.000465967,0.019037784,0.010335515,White,White,,,
Corey Seager,,0.84461391,0.000490722,0.001855303,0.153040159,White,White,,,
Cory Abbott,,0.062167365,0.598096967,0.243882833,0.095852825,Black,White,,,
Cory Spangenberg,,0.365344137,0.006864056,0.036335709,0.591456085,Other,White,,,
Craig Kimbrel,,0.475058198,0.001086234,0.391768793,0.132086761,White,White,,,
Craig Stammen,,0.392092645,0.000615801,0.302048757,0.305242792,White,White,,,
Cristian Javier,,0.006167752,0.832057655,0.145822401,0.015952174,Black,Black,,,
Cristian Pache,,0.000566468,0.916831672,0.036492025,0.046109863,Black,Other,,,
Cristofer Ogando,,0.000298016,0.960742295,0.024144672,0.014814989,Black,Other,,,
Cristopher Sánchez,,9.35E-05,0.558211029,0.436600121,0.005095373,Black,Other,,,
Curt Casali,,0.216461748,0.003705435,0.041266519,0.738566309,Other,White,,,
